"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	
549	615	574	521	554	545	488	565	675	549	468	534	345	160	75	324	326	345	233	369	159	393	151	261	84	215	776	154	166	579	77	214	192	233	194	184	133	140	74	154	573	260	773	190	266	552	167	83	332	
561	668	608	542	638	591	556	594	709	575	507	585	433	178	79	424	343	372	243	379	165	481	203	305	92	226	917	193	191	678	91	247	224	248	192	211	129	152	71	154	564	281	790	198	268	609	169	85	377	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
412	374	375	335	365	373	339	408	429	330	347	454	261	133	60	287	268	304	197	328	132	299	130	217	58	161	647	123	139	458	68	145	152	174	150	141	106	83	30	80	514	235	659	146	219	406	131	74	259	
24	27	17	14	33	24	24	18	43	15	36	12	67	24	10	35	31	36	29	34	20	72	12	42	22	38	54	27	27	64	7	53	25	33	41	35	20	10	40	68	48	25	44	25	32	54	13	7	45	
125	267	216	193	240	194	193	168	237	230	124	119	105	21	9	102	44	32	17	17	13	110	61	46	12	27	216	43	25	156	16	49	47	41	1	35	3	59	1	6	2	21	87	27	17	149	25	4	73	
24	27	17	14	33	24	24	18	43	15	36	12	67	24	10	35	31	36	29	34	20	72	12	42	22	38	54	27	27	64	7	53	25	33	41	35	20	10	40	68	48	25	44	25	32	54	13	7	45	
412	374	375	335	365	373	339	408	429	330	347	454	261	133	60	287	268	304	197	328	132	299	130	217	58	161	647	123	139	458	68	145	152	174	150	141	106	83	30	80	514	235	659	146	219	406	131	74	259	
2	9	5	4	11	5	10	7	6	1	9	5	7	2	1	2	16	6	8	20	2	2	3	3	0	1	17	0	6	13	0	2	0	4	1	3	0	2	0	0	19	4	3	4	6	12	3	0	16	
434	392	387	345	387	392	353	419	466	344	374	461	321	155	69	320	283	334	218	342	150	369	139	256	80	198	684	150	160	509	75	196	177	203	190	173	126	91	70	148	543	256	700	167	245	448	141	81	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	2	3	1	1	2	2	3	0	1	2	1	1	0	1	1	0	1	3	0	0	0	1	0	0	0	0	0	39	0	1	1	0	0	0	0	0	0	0	3	1	4	0	1	9	0	0	0	
63	52	46	32	30	46	54	59	53	26	20	51	49	22	3	34	10	6	5	11	6	32	13	12	4	20	63	7	6	61	2	19	9	13	8	7	5	10	7	6	30	14	58	14	17	62	7	5	27	
31	14	26	21	29	22	21	37	37	18	10	19	15	5	1	12	10	10	2	10	3	9	7	10	0	4	26	0	12	33	6	6	12	10	6	12	6	4	0	4	12	8	36	9	22	18	4	2	12	
330	313	306	275	320	319	267	313	360	290	338	383	248	125	61	270	260	315	209	313	138	323	118	227	76	174	574	141	142	366	65	166	155	177	175	150	114	77	61	136	493	228	583	139	198	354	125	74	249	
5	5	1	6	2	1	3	3	3	6	2	1	6	1	1	0	0	2	0	2	2	1	1	3	0	0	8	0	0	7	0	4	0	2	0	2	1	0	1	1	3	2	9	1	4	3	3	0	0	
0	4	2	3	1	2	2	2	6	1	1	1	0	1	1	2	1	0	1	2	1	1	0	0	0	0	5	0	0	2	0	0	0	1	0	1	0	0	0	1	0	3	7	4	1	1	2	0	0	
3	1	0	5	2	0	2	0	2	1	1	4	0	0	0	0	0	0	0	1	0	2	0	3	0	0	7	2	0	1	0	0	0	0	1	1	0	0	1	0	2	0	1	0	2	1	0	0	0	
1	1	4	0	2	1	2	3	2	2	1	0	2	0	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
