"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	
600	2103	1726	1626	1539	1643	1598	1785	410	702	350	794	808	189	
500	1800	1500	1400	1300	1400	1400	1500	350	600	300	650	700	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
305	1165	1116	933	920	966	845	999	242	371	213	461	422	116	
23	101	35	72	57	52	77	51	24	41	28	35	36	18	
172	534	349	395	323	382	478	450	84	188	59	154	242	16	
23	101	35	72	57	52	77	51	24	41	28	35	36	18	
305	1165	1116	933	914	966	845	998	242	371	213	461	422	116	
4	18	9	20	4	10	11	19	1	7	0	8	3	1	
324	1248	1142	985	967	1008	911	1030	265	405	241	488	455	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	6	14	4	4	7	5	9	0	3	0	0	3	1	
85	294	312	274	258	298	224	412	74	105	54	203	155	33	
27	87	85	85	60	77	79	62	23	40	20	32	28	8	
207	829	697	605	628	600	586	530	156	247	159	252	261	88	
1	10	12	10	7	7	6	6	3	1	0	0	3	1	
2	10	11	5	3	12	4	8	6	4	3	1	3	1	
0	9	8	2	2	2	2	2	2	4	5	0	0	1	
1	3	3	0	5	5	5	1	1	1	0	0	2	0	
