"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №2408"	"УИК №2627"	"УИК №2628"	"УИК №2629"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	15	18	15	12	10	11	15	7	12	7	10	10	22	16	13	13	10	17	6	4	6	11	8	14	7	15	17	3	3	4	8	5	14	7	10	4	6	8	9	7	12	8	6	6	6	5	15	14	2	12	8	6	7	1	5	8	7	8	12	9	10	8	11	6	9	9	16	14	5	9	12	6	5	17	8	10	3	6	2	1	6	10	7	9	9	3	3	12	13	9	8	9	
167	295	204	193	143	181	194	152	160	192	161	173	167	188	181	182	153	166	145	83	113	157	147	146	96	111	152	160	95	111	119	140	131	155	115	145	110	91	110	199	174	143	70	122	125	128	110	141	165	90	163	197	190	141	50	88	110	93	136	116	109	100	90	136	103	142	151	144	77	69	136	141	146	101	210	215	174	39	29	18	14	136	138	215	136	91	84	74	132	19	163	109	162	
41	103	97	88	48	84	89	66	62	87	52	53	58	75	58	77	66	61	82	56	82	81	78	68	68	62	95	72	32	45	65	72	58	92	74	77	67	70	67	80	88	70	51	83	68	83	54	67	70	52	63	82	85	44	49	43	65	54	71	76	73	53	56	64	56	89	95	86	71	44	83	85	60	66	66	98	99	14	28	10	20	74	83	158	95	46	73	41	61	13	36	43	33	
1131	1683	1233	1287	901	1062	1317	1040	1143	1172	1096	1126	1023	1167	1029	1083	1012	1105	1035	770	1127	1132	1031	1017	892	848	1120	1115	659	763	941	935	1024	1116	996	1072	684	836	892	1084	1183	1040	537	935	938	927	956	961	1183	703	1148	1177	1271	856	375	630	758	688	1060	902	914	825	734	974	811	916	1150	971	814	645	1090	1051	756	767	1110	1264	1249	199	236	184	140	984	940	1524	1159	866	856	515	978	175	1014	641	731	
96	127	108	85	44	50	83	58	62	68	68	61	47	79	56	60	46	36	45	24	40	44	40	35	26	32	56	40	22	26	14	23	24	44	23	33	12	33	19	39	36	26	19	30	31	39	58	35	55	42	70	59	52	37	7	15	35	24	30	26	36	23	24	38	28	36	50	35	21	29	46	33	8	9	64	19	21	7	6	5	7	37	30	67	35	14	18	12	26	6	107	42	71	
4	15	10	12	7	9	6	14	13	14	3	14	17	9	3	8	9	13	10	5	7	7	6	9	6	4	6	9	4	1	8	11	8	7	7	8	8	9	6	8	9	7	4	15	9	6	5	4	10	6	5	13	10	8	0	6	3	14	5	8	10	2	13	21	8	6	10	9	7	6	13	12	3	6	7	10	6	1	4	0	0	13	7	10	13	3	4	5	8	2	4	8	2	
23	51	35	32	15	20	29	19	17	26	17	22	20	39	45	32	23	16	19	6	10	11	12	16	17	15	18	23	10	14	13	3	9	15	2	8	3	1	15	15	14	9	8	10	7	12	10	13	27	8	26	23	28	22	6	13	18	7	14	14	14	11	11	15	15	11	20	12	18	14	12	14	6	3	28	10	10	2	5	1	3	16	13	13	12	14	8	10	16	1	33	21	22	
47	67	59	59	32	33	38	32	34	41	43	24	49	56	53	31	33	20	22	21	28	11	28	28	23	23	28	29	18	12	16	15	15	25	16	9	10	12	17	20	28	16	13	24	23	14	23	19	31	8	39	33	31	15	3	15	10	9	26	33	27	28	22	19	21	17	30	28	21	22	32	20	4	3	44	13	14	3	1	5	3	20	16	12	17	15	10	14	23	2	56	38	36	
