"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №659"	"УИК №661"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	
1105	465	979	879	419	930	467	1115	145	286	620	733	262	436	212	1296	346	666	113	349	262	170	201	174	172	292	98	248	224	
1100	450	1000	850	400	900	400	1150	150	250	600	700	250	450	200	1200	350	650	100	350	250	150	200	150	150	250	90	250	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
574	270	459	453	172	505	282	613	68	171	341	385	121	270	109	717	195	370	78	239	160	107	105	115	72	151	52	154	136	
57	45	62	68	50	46	48	40	27	43	70	71	54	23	39	100	73	74	11	32	26	14	23	23	41	39	17	18	29	
469	135	479	329	178	349	70	497	55	36	189	244	75	157	52	383	82	206	11	79	64	29	72	12	37	60	21	78	85	
57	45	62	68	50	46	48	40	27	43	70	71	54	23	39	100	73	74	11	32	26	14	23	23	41	39	17	18	29	
574	270	459	453	172	505	282	613	68	171	341	385	121	270	109	717	195	370	78	239	160	107	105	115	72	151	52	154	136	
11	3	6	5	3	4	2	8	0	2	4	5	1	2	0	6	1	3	1	3	0	3	0	0	1	2	0	1	2	
620	312	515	516	219	547	328	645	95	212	407	451	174	291	148	811	267	441	88	268	186	118	128	138	112	188	69	171	163	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	0	3	2	4	2	2	0	1	1	2	0	2	0	8	1	0	1	1	2	1	0	0	2	1	0	0	0	
90	68	61	87	21	85	43	109	14	14	61	53	8	33	4	110	35	29	3	34	16	14	40	8	20	21	13	8	16	
66	19	63	49	32	60	29	75	9	18	39	28	29	25	9	52	27	56	5	18	12	11	10	11	10	16	4	21	12	
451	216	381	364	161	382	248	452	69	170	301	362	131	224	131	626	194	346	79	210	148	90	78	115	78	148	50	141	134	
2	1	6	3	1	7	2	1	0	2	2	0	0	4	1	4	5	2	0	3	7	1	0	2	0	0	2	1	1	
2	0	3	3	0	4	3	2	1	4	1	3	5	3	1	3	0	3	0	2	1	0	0	2	1	1	0	0	0	
5	1	0	3	2	1	1	1	0	2	1	2	1	0	0	4	5	4	0	0	0	0	0	0	1	1	0	0	0	
1	6	1	4	0	4	0	3	2	1	1	1	0	0	2	4	0	1	0	0	0	1	0	0	0	0	0	0	0	
