"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	
1921	2661	2664	2573	1880	2021	
1474	1877	1864	1813	1329	1446	
0	0	0	0	0	0	
1442	1820	1823	1755	1309	1407	
32	57	41	58	20	39	
0	0	0	0	0	0	
32	56	41	58	20	39	
1437	1802	1821	1751	1303	1399	
14	19	22	26	18	29	
1455	1839	1840	1783	1305	1409	
0	0	0	0	0	0	
0	0	0	0	0	0	

13	21	11	18	10	22	
226	236	296	263	192	207	
112	134	99	87	98	74	
1034	1391	1367	1340	951	1056	
25	25	18	18	24	19	
16	11	17	15	5	4	
18	7	11	22	17	16	
11	14	21	20	8	11	
