"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	
1008	335	302	448	103	186	343	1464	1258	278	201	
1000	350	350	500	150	250	400	1500	1200	300	250	
0	0	0	0	0	0	0	0	0	0	0	
515	245	201	307	69	101	198	935	808	136	148	
217	23	72	27	14	42	112	166	114	83	27	
268	82	77	166	67	107	90	399	278	81	75	
217	23	72	27	14	42	112	166	114	83	27	
515	245	201	307	69	101	198	935	808	136	148	
5	1	3	4	0	0	1	39	17	0	1	
727	267	270	330	83	143	309	1062	905	219	174	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

2	2	0	2	1	2	1	5	9	3	1	
106	21	17	31	22	14	19	158	134	32	18	
111	55	23	45	13	21	47	134	115	31	24	
495	183	222	243	45	103	232	742	621	149	128	
1	4	4	3	0	0	4	14	6	3	1	
4	1	3	4	0	1	4	4	8	1	1	
2	0	1	2	1	1	0	3	9	0	1	
6	1	0	0	1	1	2	2	3	0	0	
