"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №303"	
248	325	585	157	534	214	516	92	480	172	457	95	388	69	73	78	185	346	100	374	669	322	422	625	132	445	557	90	1892	1559	1023	1715	874	1859	844	1864	844	341	818	
240	320	600	160	530	210	510	85	490	180	470	90	420	70	75	70	200	340	95	400	700	330	410	620	130	425	590	95	1890	1575	980	1765	875	1860	850	1900	870	340	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
135	206	415	116	329	110	318	58	371	128	264	55	304	52	64	60	142	232	59	209	412	181	220	303	60	256	348	52	989	873	547	895	483	860	418	978	439	178	436	
13	19	41	7	48	16	35	2	21	11	25	2	27	2	2	3	12	33	24	50	64	18	17	40	16	41	84	14	70	73	67	88	25	49	17	87	32	42	30	
92	95	144	37	153	84	157	25	98	41	181	33	89	16	9	7	46	75	12	141	224	131	173	277	54	128	158	29	831	629	366	782	367	951	415	835	399	120	334	
13	19	41	7	48	16	35	2	21	11	25	2	27	2	2	3	12	33	24	50	64	18	17	40	16	41	84	14	70	73	67	88	25	49	17	87	32	42	30	
135	206	415	116	329	110	317	58	371	128	264	55	304	52	64	60	142	232	59	209	412	181	220	303	60	256	348	52	989	873	547	895	483	860	418	978	439	178	436	
1	0	10	4	1	1	5	1	7	4	5	0	0	0	0	0	3	7	0	4	4	2	5	2	1	1	18	0	24	15	13	22	6	17	6	25	4	1	4	
147	225	446	119	376	125	347	59	385	135	284	57	331	54	66	63	151	258	83	255	472	197	232	341	75	296	414	66	1035	931	601	961	502	892	429	1040	467	219	462	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	7	0	0	1	0	0	1	2	0	0	1	0	1	0	1	2	2	4	0	1	2	1	5	1	2	6	1	2	2	5	3	6	3	0	2	
12	29	33	7	44	26	70	2	41	8	64	22	32	5	3	4	22	30	13	31	50	17	14	37	8	42	61	7	185	167	108	143	81	158	80	154	72	21	76	
31	38	35	21	21	12	11	6	33	20	23	8	25	5	8	2	25	29	7	28	40	26	28	23	17	13	41	12	67	54	53	80	45	82	37	103	26	20	26	
102	155	371	90	293	85	263	47	305	107	188	24	270	44	54	56	99	193	61	189	367	142	187	271	45	233	287	42	760	674	431	710	364	631	301	759	358	178	351	
0	1	4	0	3	2	1	0	3	0	5	0	1	0	0	0	1	4	0	4	5	1	0	5	2	3	6	2	7	12	6	8	2	7	1	4	2	0	3	
1	1	2	0	4	0	2	1	0	0	1	1	0	0	0	0	2	2	0	0	2	5	0	2	0	4	6	0	5	9	1	3	5	2	3	5	1	0	2	
0	0	1	0	3	0	0	1	0	0	1	0	3	0	0	1	0	0	1	0	2	1	0	1	1	0	3	1	6	2	0	10	2	4	2	2	4	0	0	
1	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	1	0	0	1	4	1	3	1	0	0	5	1	3	7	1	5	1	3	2	7	1	0	2	
