"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	
1865	1703	2552	1572	1831	1636	1779	
1700	1700	2400	1500	1700	1600	1600	
0	0	0	0	0	0	0	
1295	1134	1837	1103	943	1110	1034	
33	23	45	12	47	17	21	
372	543	518	385	710	473	545	
33	23	45	12	47	17	21	
1295	1134	1837	1103	943	1110	1034	
2	20	8	9	20	0	11	
1326	1137	1874	1106	970	1127	1044	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

5	4	5	11	14	3	2	
189	299	153	172	132	140	206	
43	36	50	42	59	35	55	
1030	761	1621	849	723	923	735	
31	7	10	8	9	9	18	
10	13	13	13	20	9	14	
8	13	14	5	8	3	10	
10	4	8	6	5	5	4	
