"УИК №755"	"УИК №756"	"УИК №757"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	
1082	1252	823	370	272	236	233	236	280	470	227	504	124	122	259	133	136	283	392	241	241	142	249	132	154	567	320	
1100	1300	790	350	300	250	250	230	280	500	230	500	115	120	250	130	115	270	350	250	250	140	200	120	150	550	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
625	803	446	210	95	166	151	177	112	261	150	367	78	92	174	99	80	167	272	129	121	98	140	80	100	332	193	
51	40	51	34	41	25	19	16	90	52	23	46	19	21	16	16	25	43	43	43	54	16	49	14	20	89	54	
424	457	293	106	164	59	80	37	78	187	57	87	18	7	60	15	10	60	35	78	75	26	11	26	30	129	53	
51	40	51	34	41	25	19	16	90	52	23	46	19	21	16	16	25	43	43	43	54	16	49	14	20	88	54	
625	803	446	210	95	166	151	177	112	261	150	367	78	92	174	99	80	167	272	129	121	98	140	80	100	332	193	
9	11	3	0	0	2	0	0	1	1	3	7	1	0	0	1	0	1	0	1	0	0	3	1	1	5	2	
667	832	494	244	136	189	170	193	201	312	170	406	96	113	190	114	105	209	315	171	175	114	186	93	119	415	245	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	1	2	0	1	0	2	2	5	1	4	0	1	0	0	0	3	1	0	0	1	2	1	0	6	0	
148	148	90	45	15	10	23	23	21	46	11	32	3	6	17	9	4	18	31	9	8	10	10	7	14	96	10	
55	87	57	33	14	20	15	20	16	30	24	29	7	2	19	4	6	26	20	6	11	13	15	16	7	30	11	
453	570	333	152	103	156	128	145	160	228	132	331	86	104	151	98	95	156	241	155	154	85	157	68	96	277	216	
3	8	4	4	2	1	0	1	0	3	1	6	0	0	2	0	0	1	18	0	1	2	0	0	0	0	1	
3	7	6	4	1	0	2	0	2	0	1	3	0	0	0	3	0	2	3	0	1	1	1	0	0	3	3	
1	3	1	4	1	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1	2	2	2	
1	3	2	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	2	
