"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	
923	814	844	1025	908	852	856	1134	831	934	895	788	940	924	881	
800	800	800	900	800	800	800	900	800	800	800	800	800	800	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
453	347	454	507	416	449	444	526	359	571	481	322	462	538	368	
59	55	35	47	30	31	20	84	29	19	37	49	26	25	48	
288	398	311	346	354	320	336	290	412	210	282	429	312	237	384	
59	55	35	47	30	31	20	84	29	19	37	49	26	25	48	
453	347	454	507	416	449	444	526	359	570	481	322	462	538	368	
4	3	2	4	4	7	3	5	3	3	5	5	7	4	11	
508	399	487	550	442	473	461	605	385	586	513	366	481	559	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	1	4	2	1	6	5	1	3	2	2	4	4	2	
119	79	112	114	105	111	99	144	90	146	123	84	105	149	79	
62	36	53	59	48	49	59	69	29	64	43	33	51	56	59	
312	269	309	364	273	304	284	376	250	355	327	237	299	339	257	
2	8	2	6	6	3	7	4	6	4	8	3	5	3	2	
2	3	4	2	6	2	1	4	2	5	3	0	7	1	2	
3	1	4	1	2	1	4	1	3	3	3	3	5	4	2	
3	2	2	0	0	2	1	2	4	6	4	4	5	3	2	
