"УИК №5501"	"УИК №5502"	"УИК №5503"	"УИК №5504"	"УИК №5505"	"УИК №5506"	"УИК №5507"	"УИК №5508"	"УИК №5509"	"УИК №5510"	"УИК №5511"	"УИК №5512"	"УИК №5513"	"УИК №5514"	"УИК №5515"	"УИК №5516"	"УИК №5517"	"УИК №5518"	"УИК №5519"	"УИК №5520"	"УИК №5521"	"УИК №5522"	"УИК №5523"	"УИК №5524"	"УИК №5525"	
1745	2434	2203	2470	1227	326	1603	1472	1507	1381	1279	400	384	134	174	261	985	1174	1447	766	489	2599	1769	857	456	
1804	2472	2249	2529	1249	330	1613	1509	1527	1415	1312	404	390	126	177	252	1003	1191	1459	779	496	2644	1800	864	446	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1467	1940	1867	1607	1056	282	1368	1173	1408	1113	939	329	293	122	140	203	771	1002	931	653	406	1377	1353	543	356	
185	402	110	118	110	23	171	226	85	249	187	55	62	3	24	45	134	117	441	86	70	267	120	90	67	
152	130	272	804	83	25	74	110	34	53	186	20	35	1	13	4	98	72	87	40	20	1000	327	231	23	
185	402	110	118	110	23	171	226	85	249	187	55	62	3	24	45	134	117	441	86	70	267	120	90	67	
1467	1940	1867	1578	1056	282	1368	1173	1408	1113	939	329	293	122	140	203	771	1002	931	653	406	1377	1353	543	356	
0	10	9	29	5	0	13	8	4	0	14	0	0	0	0	0	0	8	0	4	3	19	26	17	0	
1652	2332	1968	1667	1161	305	1526	1391	1489	1362	1112	384	355	125	164	248	905	1111	1372	735	473	1625	1447	616	423	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	4	8	2	0	0	2	3	6	8	1	0	0	2	2	4	1	0	4	0	25	8	6	2	
129	117	170	162	105	10	142	62	88	71	58	8	24	8	6	15	73	88	50	51	28	230	225	84	27	
57	50	86	54	34	5	136	23	23	8	61	2	12	8	7	10	45	53	29	40	21	109	71	48	20	
1464	2151	1678	1401	1014	287	1233	1301	1368	1266	971	368	317	107	148	209	771	951	1285	630	418	1228	1117	460	367	
2	7	7	16	4	3	0	2	1	2	6	2	1	2	1	4	3	4	3	3	2	8	8	6	3	
0	0	10	10	0	0	0	0	1	5	5	1	1	0	0	1	6	6	0	2	3	9	8	6	1	
0	7	8	10	0	0	14	1	3	1	1	1	0	0	0	4	3	3	5	3	1	7	5	4	3	
0	0	5	6	2	0	1	0	2	3	2	1	0	0	0	3	0	5	0	2	0	9	5	2	0	
