"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №2627"	"УИК №2628"	"УИК №2629"	
1068	1126	1122	1114	1068	1198	1177	1176	1309	1266	1281	1113	1025	1306	1221	
1065	1088	1073	1034	1050	1066	1112	1141	1285	1328	1227	1131	1022	1204	1183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
431	524	606	556	614	643	530	690	616	788	733	721	686	883	569	
66	39	58	43	29	40	40	61	36	87	69	64	23	119	35	
568	525	409	435	407	383	542	390	633	453	425	346	313	202	579	
66	39	58	43	29	40	40	61	36	87	69	64	23	119	35	
431	524	606	556	614	643	530	690	616	788	733	721	686	883	569	
10	5	6	11	5	3	7	3	3	17	9	8	10	12	3	
487	558	658	588	638	680	563	748	649	858	793	777	699	990	601	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	4	4	4	2	4	2	4	4	7	3	6	3	2	
69	67	62	73	57	84	74	50	102	55	66	62	54	85	53	
28	48	43	36	57	49	37	43	56	63	59	46	42	51	35	
385	431	537	466	510	530	429	642	466	715	641	647	587	841	502	
3	6	2	3	2	4	6	5	3	4	4	8	5	3	1	
1	1	6	1	1	6	4	3	3	9	7	5	3	3	1	
0	3	1	3	3	4	2	1	12	5	3	3	0	1	4	
0	1	3	2	4	1	7	2	3	3	6	3	2	3	3	
