"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	
231	498	153	932	203	638	168	1865	446	2364	457	
262	544	160	995	237	630	178	1957	477	2513	506	
14	33	18	17	11	27	20	0	9	0	7	
172	278	99	476	125	372	108	959	232	1355	285	
5	11	7	26	8	15	0	121	10	64	7	
71	222	36	476	93	216	50	877	226	1094	207	
19	44	25	43	19	42	20	121	19	64	14	
172	278	99	476	125	372	108	959	232	1355	285	
1	1	1	5	1	1	0	12	3	11	2	
190	321	123	514	143	413	128	1068	248	1408	297	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

1	0	0	3	0	0	0	4	3	3	1	
21	70	20	49	15	18	10	237	57	230	47	
1	2	0	12	2	4	5	95	1	24	3	
163	243	100	447	126	381	110	704	185	1131	245	
2	3	3	2	0	5	2	11	2	9	0	
0	2	0	1	0	4	0	4	0	3	0	
1	0	0	0	0	1	0	7	0	3	1	
1	1	0	0	0	0	1	6	0	5	0	
