"УИК №3601"	"УИК №3602"	"УИК №3603"	"УИК №3604"	"УИК №3605"	"УИК №3606"	"УИК №3607"	"УИК №3608"	"УИК №3609"	"УИК №3610"	"УИК №3611"	"УИК №3612"	"УИК №3613"	"УИК №3614"	"УИК №3615"	"УИК №3616"	"УИК №3617"	"УИК №3618"	"УИК №3619"	"УИК №3620"	"УИК №3621"	"УИК №3622"	"УИК №3623"	"УИК №3624"	"УИК №3625"	"УИК №3626"	"УИК №3627"	"УИК №3628"	"УИК №3629"	"УИК №3630"	"УИК №3631"	"УИК №3632"	"УИК №3633"	"УИК №3634"	"УИК №3635"	"УИК №3636"	"УИК №3637"	"УИК №3638"	"УИК №3639"	"УИК №3640"	"УИК №3641"	"УИК №3642"	"УИК №3643"	"УИК №3644"	"УИК №3645"	
1454	1438	2027	1148	2780	1702	2406	2729	2379	919	2240	2703	1465	1520	1309	1436	648	1944	1903	2609	1134	1356	2610	1588	1933	796	1980	860	756	2940	2639	1402	1261	1041	615	1152	1014	739	959	359	1162	1488	219	132	230	
1050	1100	1500	850	2000	1300	1850	2500	1800	700	1800	2000	1300	1400	1000	1100	500	2000	1600	2400	900	1000	2400	1200	1450	600	2000	700	600	2400	2000	1100	1250	1000	550	850	900	600	700	300	900	1350	225	140	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
853	882	1209	786	1772	1101	1697	1910	1612	558	1533	1680	973	986	808	736	380	1255	1518	1887	686	955	1874	1113	1389	580	1398	552	491	1990	1620	849	906	720	391	661	751	534	589	269	714	1013	219	54	49	
24	41	43	23	126	57	46	55	79	34	71	67	55	80	42	93	7	131	29	38	18	15	39	46	46	17	29	4	29	83	72	51	43	34	20	36	21	21	47	5	42	33	0	74	166	
173	177	248	41	102	142	107	535	109	108	196	253	272	333	150	271	113	614	53	475	196	29	487	41	15	3	573	144	80	327	308	200	301	246	139	153	128	45	64	26	144	304	6	12	0	
24	41	43	23	126	57	46	55	79	34	71	67	55	80	42	93	7	131	29	38	18	15	39	46	46	17	29	4	29	83	72	51	43	34	20	36	21	21	47	5	42	33	0	74	166	
853	882	1209	786	1772	1100	1695	1909	1612	558	1532	1680	973	986	808	736	380	1255	1518	1887	686	955	1874	1113	1389	580	1398	552	491	1987	1618	849	906	720	391	661	751	534	589	269	714	1013	219	54	49	
20	9	16	15	41	19	35	31	28	17	25	28	15	15	18	15	6	19	25	33	11	17	38	23	32	7	23	3	7	50	41	12	21	15	4	11	20	8	5	4	13	26	0	0	0	
857	914	1236	794	1857	1138	1706	1933	1663	575	1578	1719	1013	1051	832	814	381	1367	1522	1892	693	953	1875	1136	1403	590	1404	553	513	2020	1649	888	928	739	407	686	752	547	631	270	743	1020	219	128	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	3	9	5	8	3	9	16	3	2	9	15	7	7	7	4	1	11	8	17	4	8	17	7	15	2	11	2	3	13	6	5	3	9	3	6	5	7	4	2	5	8	0	0	2	
106	86	133	95	235	154	204	243	184	60	175	190	110	113	89	82	33	147	198	239	83	96	218	150	137	64	141	45	65	256	201	124	100	83	55	83	114	63	73	36	94	111	3	11	16	
56	71	110	41	122	86	110	127	131	54	94	142	68	80	68	76	24	99	96	118	64	62	138	87	100	37	109	53	52	169	111	64	75	58	41	52	70	37	40	9	64	86	43	6	11	
664	733	938	624	1414	840	1308	1452	1277	446	1225	1302	785	816	636	624	314	1059	1159	1419	521	737	1418	831	1100	468	1087	436	373	1496	1266	669	720	559	291	518	540	415	488	212	557	784	162	103	179	
11	9	14	15	32	24	42	39	28	6	30	30	18	17	17	13	5	28	16	37	14	21	40	27	21	8	27	7	8	49	40	7	20	19	8	15	11	11	12	5	11	12	6	2	4	
4	4	10	5	13	6	4	14	14	2	17	13	6	5	4	9	1	8	11	22	3	9	12	9	6	4	3	2	4	7	8	3	6	1	2	8	2	6	2	3	5	5	2	2	1	
2	3	12	5	17	7	10	12	12	2	14	11	5	11	4	1	2	6	15	20	1	11	11	11	10	2	14	1	4	14	9	8	2	7	4	2	8	3	9	2	4	2	3	2	2	
4	5	10	4	16	18	19	30	14	3	14	16	14	2	7	5	1	9	19	20	3	9	21	14	14	5	12	7	4	16	8	8	2	3	3	2	2	5	3	1	3	12	0	2	0	
