"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	
278	159	214	369	259	227	148	158	289	138	133	123	444	311	891	450	657	300	539	259	600	330	151	468	314	303	212	140	246	189	905	1810	1537	862	
267	141	204	360	251	215	136	151	277	132	127	128	445	298	863	435	615	276	486	241	569	363	140	429	279	288	196	137	235	175	868	1715	1470	818	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200	99	128	245	167	99	73	85	156	80	74	47	219	194	453	201	266	134	336	151	250	192	96	289	177	200	153	97	132	83	680	976	722	531	
52	34	33	91	36	51	25	37	36	27	40	44	182	55	122	156	240	109	103	46	121	57	41	136	65	88	43	33	35	30	90	117	168	73	
15	8	43	24	48	65	38	29	85	25	13	37	44	49	288	78	109	33	47	44	198	114	3	4	37	0	0	7	68	62	98	622	580	214	
52	34	33	91	36	51	25	37	36	27	40	44	182	55	122	156	240	109	103	46	121	57	41	136	65	88	43	33	35	30	90	117	168	73	
200	99	128	245	167	99	73	85	156	80	74	47	219	194	453	201	266	134	336	151	250	192	96	289	177	200	153	97	132	83	680	976	722	531	
1	0	1	3	2	0	0	0	3	0	0	1	0	0	1	0	4	0	2	2	4	0	0	3	1	1	0	0	3	0	0	16	8	10	
251	133	160	333	201	150	98	122	189	107	114	90	401	249	574	357	502	243	437	195	367	249	137	422	241	287	196	130	164	113	770	1077	882	594	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	1	3	1	4	1	1	0	0	0	1	1	1	4	5	3	2	1	1	1	2	1	2	1	0	0	0	0	2	5	12	5	2	
6	8	1	47	20	14	5	13	26	8	2	1	15	17	67	19	48	18	31	42	80	13	4	38	20	14	10	10	21	10	80	185	142	51	
9	4	13	14	10	12	7	10	8	4	4	5	28	17	47	26	31	14	20	3	24	15	3	20	8	11	6	7	15	7	34	61	43	55	
232	119	144	264	170	120	85	97	148	94	106	83	351	213	445	292	411	203	376	147	254	218	128	355	208	261	174	111	123	93	639	790	682	481	
2	1	0	2	0	0	0	0	1	1	0	0	4	1	4	3	2	0	2	1	3	1	1	3	2	0	5	0	3	0	4	10	3	0	
1	0	1	1	0	0	0	0	2	0	2	0	1	0	1	4	3	2	5	1	3	0	0	3	2	1	0	1	0	1	5	9	2	5	
1	0	0	1	0	0	0	0	1	0	0	0	0	0	4	6	3	1	1	0	2	0	0	0	0	0	1	1	2	0	2	2	1	0	
0	0	0	1	0	0	0	1	3	0	0	0	1	0	2	2	1	3	1	0	0	0	0	1	0	0	0	0	0	0	1	8	4	0	
