"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №435"	
868	837	834	1472	1980	2852	2483	1063	2789	1011	1644	1683	1899	1998	2731	2764	1968	2327	2237	2396	2827	527	1143	1082	2708	2284	2099	2587	2297	2164	1520	782	1044	672	1510	825	1502	154	1487	
843	813	810	1433	1941	2852	2405	1063	2702	985	1593	1631	1841	1936	2644	2678	1915	2316	2187	2350	2740	517	1111	1052	2650	2230	2060	2520	2234	2094	1475	760	1033	653	1470	800	1463	150	1450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
812	778	759	1394	1878	2735	2301	1009	2629	931	1525	1564	1739	1879	2546	2592	1885	2258	2133	2258	2668	495	1021	993	2612	2144	1942	2442	2174	2026	1414	735	950	610	1431	781	1408	139	1417	
12	25	17	23	21	90	60	22	39	21	17	9	25	29	27	35	16	10	32	24	35	8	35	23	17	22	38	24	40	20	37	15	25	22	20	10	23	3	19	
19	10	34	16	42	27	44	32	34	33	51	58	77	28	71	51	14	48	22	68	37	14	55	36	21	64	80	54	20	48	24	10	58	21	19	9	32	8	14	
12	25	17	23	21	90	60	22	39	21	17	9	25	29	27	35	16	10	32	24	35	8	35	23	17	22	38	24	40	20	37	15	25	22	20	10	23	3	19	
812	778	759	1394	1878	2735	2301	1009	2629	931	1525	1564	1739	1879	2546	2592	1885	2258	2133	2258	2668	495	1021	993	2612	2144	1942	2442	2174	2026	1414	735	950	610	1431	781	1408	139	1417	
2	1	1	2	3	5	2	2	2	1	2	3	1	1	3	3	1	2	3	2	1	0	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	0	1	
822	802	775	1415	1896	2820	2359	1029	2666	951	1540	1570	1763	1907	2570	2624	1900	2266	2162	2280	2702	503	1054	1015	2627	2164	1978	2464	2212	2045	1450	749	974	631	1450	790	1430	142	1435	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	23	26	21	25	34	24	27	40	21	17	23	36	17	18	23	27	30	52	22	23	14	12	32	26	40	17	43	36	14	25	32	23	21	41	2	6	1	19	
65	45	85	19	125	97	99	47	184	140	24	25	68	32	65	22	41	78	115	36	75	31	25	27	39	27	37	39	34	62	45	11	36	44	79	49	98	25	36	
3	8	1	4	10	5	8	5	9	5	5	0	6	8	7	9	21	2	5	3	6	2	3	3	3	6	5	2	5	9	2	9	2	4	2	9	7	2	5	
713	713	639	1360	1707	2665	2201	930	2401	764	1465	1488	1635	1835	2470	2561	1793	2151	1964	2195	2575	440	986	946	2549	2080	1901	2368	2122	1928	1349	681	896	547	1313	724	1305	98	1356	
7	2	9	1	8	5	7	1	9	9	5	5	3	5	2	1	10	1	3	8	5	3	2	1	2	1	2	1	2	1	1	2	3	0	1	2	3	2	1	
2	1	1	4	5	3	6	6	6	0	5	3	5	2	1	2	1	1	10	5	3	2	2	1	2	1	2	1	1	2	3	0	1	2	2	0	3	0	2	
9	2	9	2	7	4	9	7	5	5	10	5	8	5	4	5	5	0	8	8	7	9	21	2	3	3	9	8	7	20	23	5	9	8	7	4	2	6	9	
5	8	5	4	9	7	5	6	12	7	9	21	2	3	3	1	2	3	5	3	8	2	3	3	3	6	5	2	5	9	2	9	4	5	5	0	6	8	7	
