"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	
1799	1670	2127	144	163	578	301	433	231	193	389	430	767	230	92	620	1253	1113	210	568	324	380	513	1208	1272	546	411	682	
1750	1750	2000	140	170	650	300	450	230	170	400	450	800	230	100	640	1200	1100	200	630	320	400	520	1150	1300	550	450	680	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1020	1015	1292	79	123	379	164	237	134	133	242	362	478	145	69	429	610	496	83	315	210	279	293	604	642	352	223	405	
67	86	53	5	10	60	15	53	20	7	17	25	75	10	5	34	47	36	2	31	28	20	22	58	65	39	54	44	
663	649	655	56	37	211	121	160	76	30	141	63	247	75	26	177	543	568	115	284	82	101	205	488	593	159	173	231	
67	86	53	5	10	60	15	53	20	7	17	25	75	10	5	34	47	36	2	31	28	20	22	58	65	39	54	44	
1020	1015	1291	79	123	378	164	237	134	133	242	362	478	145	69	428	610	496	83	315	210	279	293	604	642	352	223	405	
19	7	17	0	2	2	2	4	1	0	7	4	11	3	2	3	7	5	2	0	3	4	1	7	14	2	4	5	
1068	1094	1327	84	131	436	177	286	153	140	252	383	542	152	72	459	650	527	83	346	235	295	314	655	693	389	273	444	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	11	0	0	4	0	1	0	0	1	3	3	2	0	0	8	1	0	1	1	1	1	3	5	4	3	2	
202	188	259	6	11	61	10	25	8	4	20	18	116	19	8	43	141	115	21	43	33	42	28	145	125	68	46	77	
80	83	95	5	13	37	9	24	12	17	13	26	22	13	7	41	73	52	10	32	29	15	30	68	77	46	10	42	
760	787	931	73	106	325	155	229	131	116	214	333	394	113	57	373	418	346	50	268	167	230	248	436	471	262	211	317	
8	15	12	0	1	3	1	6	1	0	0	2	4	4	0	2	3	5	1	2	1	2	4	1	5	4	0	2	
5	6	8	0	0	3	1	1	0	1	2	1	2	0	0	0	2	4	1	0	2	3	1	0	3	2	0	4	
2	5	6	0	0	1	1	0	1	2	0	0	1	0	0	0	3	4	0	0	2	2	2	2	7	0	1	0	
5	4	5	0	0	2	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	2	0	
