"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	
1315	1115	1202	646	240	176	339	418	236	182	175	151	146	455	158	215	312	318	135	725	470	471	329	157	577	215	621	851	413	149	132	
1210	1020	1100	580	250	170	320	380	220	160	170	150	150	420	140	200	300	300	130	670	450	450	310	150	550	200	580	800	400	140	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
719	782	794	418	170	106	191	268	162	108	116	92	99	284	122	114	170	146	84	435	321	248	219	91	264	110	409	602	300	101	80	
220	154	198	106	47	52	92	107	46	47	45	37	26	93	15	69	103	120	28	192	90	141	67	39	210	51	137	124	42	29	29	
271	84	108	56	33	12	37	5	12	5	9	21	25	43	3	17	27	34	18	43	39	61	24	20	76	39	34	74	58	10	21	
220	154	198	106	47	52	92	107	46	47	45	37	26	93	15	69	103	120	28	192	90	141	67	39	210	51	137	124	42	29	29	
719	782	794	418	170	106	191	268	162	108	116	92	99	284	122	114	170	146	84	435	321	248	219	91	264	110	409	602	300	101	80	
4	12	10	2	1	0	1	0	0	0	0	0	0	5	0	0	1	0	0	3	1	0	0	0	0	0	4	3	3	0	0	
935	924	982	522	216	158	282	375	208	155	161	129	125	372	137	183	272	266	112	624	410	389	286	130	474	161	542	723	339	130	109	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	4	3	1	0	1	1	0	2	0	1	0	2	0	0	1	0	0	2	1	2	0	1	1	0	2	1	7	0	0	
101	86	107	57	10	2	20	16	16	12	11	7	9	19	5	24	25	16	3	51	21	40	1	4	23	18	40	68	30	6	11	
34	48	42	21	4	9	16	20	9	4	8	6	6	24	4	5	15	10	9	28	14	9	2	7	18	1	18	23	9	2	1	
784	770	818	436	196	145	239	336	179	135	140	112	109	323	127	154	229	237	98	533	370	336	283	117	428	141	475	618	290	121	97	
3	6	5	2	1	0	3	0	3	2	1	0	1	0	0	0	0	1	0	4	1	0	0	0	0	1	2	2	0	0	0	
6	5	2	2	2	1	2	0	1	0	1	2	0	4	1	0	2	1	2	3	2	2	0	0	3	0	4	2	2	0	0	
3	1	2	1	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	4	1	0	0	
2	3	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0	1	0	
