"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	
1156	1106	1086	1055	758	479	303	262	291	110	307	330	362	409	241	181	134	323	249	149	122	88	690	375	333	291	475	140	355	125	109	252	754	231	330	309	196	245	153	173	188	205	154	368	199	541	315	113	330	296	117	268	208	125	377	388	144	
1046	1080	1061	926	727	484	319	282	316	117	318	359	345	410	241	219	150	342	278	158	133	99	804	404	355	302	471	156	372	130	117	261	731	236	363	326	197	289	171	188	200	224	172	442	232	548	325	145	381	317	137	307	228	148	390	375	146	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1004	975	931	843	694	428	269	219	202	99	255	228	310	355	211	133	121	276	230	125	105	76	510	332	289	244	406	105	316	101	91	203	588	200	282	251	173	197	134	149	157	163	112	312	169	478	269	104	280	272	89	215	179	109	333	338	120	
39	48	79	54	28	23	27	30	88	11	48	99	35	53	23	37	10	37	19	22	17	11	149	33	35	37	52	31	30	21	15	42	137	29	38	51	20	45	17	21	26	41	41	56	30	61	46	7	40	19	19	50	26	15	39	35	16	
3	57	51	29	5	33	23	33	26	7	15	32	0	2	7	49	19	29	29	11	11	12	145	39	31	21	13	20	26	8	11	16	6	7	43	24	4	47	20	18	17	20	19	74	33	9	10	34	61	26	29	42	23	24	18	2	10	
39	48	79	54	28	23	27	30	88	11	48	99	35	53	23	37	10	37	19	22	17	11	149	33	35	37	52	31	30	21	15	42	137	29	38	51	20	45	17	21	26	41	41	56	30	61	46	7	40	19	19	50	26	15	39	35	16	
1004	975	931	843	694	428	269	219	202	99	255	228	310	355	211	133	121	276	230	125	105	76	510	332	289	244	406	105	316	101	91	203	588	200	282	251	173	197	134	149	157	163	112	312	169	478	269	104	280	272	89	215	179	109	333	338	120	
16	13	12	22	14	8	1	4	2	0	1	5	2	3	3	3	7	5	6	3	5	3	66	9	6	6	10	1	2	1	1	3	14	2	2	2	5	2	3	2	6	6	1	5	18	7	6	5	1	2	0	2	0	2	19	7	2	
1027	1010	998	875	708	443	295	245	288	110	302	322	343	405	231	167	124	308	243	144	117	84	593	356	318	275	448	135	344	121	105	242	711	227	318	300	188	240	148	168	177	198	152	363	181	532	309	106	319	289	108	263	205	122	353	366	134	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	3	11	4	1	2	2	1	1	0	2	0	2	0	2	0	0	1	1	3	2	2	0	4	0	3	1	2	3	2	2	0	3	4	2	2	0	0	1	1	1	0	2	2	0	3	1	1	2	2	0	0	1	0	1	4	1	
116	108	107	105	57	53	28	36	31	0	24	21	38	9	23	23	11	18	31	12	11	6	28	21	21	27	50	7	41	18	2	24	72	16	20	32	11	31	9	10	4	5	13	34	12	65	23	2	29	29	5	11	8	2	35	43	14	
68	61	54	47	33	15	14	16	20	3	17	10	28	7	17	6	7	17	25	10	5	6	26	12	11	16	28	6	24	7	5	11	42	7	27	14	8	14	10	10	11	3	4	25	12	21	11	4	8	17	3	5	15	3	21	29	6	
806	824	796	690	592	352	250	186	235	107	251	288	270	386	181	129	105	266	185	116	94	69	532	311	278	220	356	114	266	93	95	193	583	196	263	242	168	190	126	147	158	185	131	299	156	431	266	98	277	235	99	244	179	117	290	283	112	
9	4	15	8	9	16	1	3	1	0	4	2	2	2	5	4	1	4	0	1	3	0	7	5	4	3	4	6	7	0	0	8	3	0	4	3	0	3	1	0	3	1	0	1	1	3	3	0	1	0	1	1	2	0	2	3	1	
6	3	7	9	3	1	0	3	0	0	2	1	3	0	2	0	0	0	0	0	1	1	0	2	1	4	4	0	3	1	1	3	3	3	2	5	1	1	1	0	0	2	1	1	0	4	5	0	2	3	0	0	0	0	1	2	0	
6	4	6	9	9	4	0	0	0	0	2	0	0	0	0	4	0	2	0	2	1	0	0	1	2	2	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	1	0	5	0	1	0	0	0	1	0	0	2	1	0	
9	3	2	3	4	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	3	3	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	1	1	0	
