"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	
2352	1410	2256	1385	369	534	589	64	490	393	535	89	77	438	257	218	292	244	439	127	326	242	164	
2441	1455	2346	1453	395	563	605	54	525	410	557	99	89	477	264	215	285	250	462	129	361	271	187	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1147	669	1156	702	188	274	310	32	257	227	326	72	62	190	99	115	136	110	219	77	196	137	99	
160	116	130	89	73	119	84	14	52	30	44	0	3	76	34	17	69	32	57	11	36	42	13	
1134	670	1060	662	134	170	211	8	216	153	187	27	24	211	131	83	80	108	186	41	129	92	75	
160	116	130	89	73	119	84	14	52	30	44	0	3	76	34	17	69	32	57	11	36	42	13	
1147	669	1156	702	188	274	310	32	257	227	326	72	62	190	99	115	136	110	219	77	196	137	99	
16	6	11	11	1	3	3	0	3	3	4	2	0	4	1	0	3	0	0	0	1	0	0	
1291	779	1275	780	260	390	391	46	306	254	366	70	65	262	132	132	202	142	276	88	231	179	112	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	10	7	8	2	4	2	0	1	2	3	0	0	1	0	0	1	1	2	0	0	1	0	
175	97	143	84	27	24	33	3	33	25	29	27	14	31	18	20	22	27	27	14	18	26	10	
88	53	80	47	21	26	34	1	19	26	32	2	3	6	18	11	20	15	24	5	11	22	8	
994	600	1022	621	205	326	315	42	249	194	286	41	48	217	94	100	157	97	216	67	199	126	92	
10	11	6	8	3	4	2	0	2	2	8	0	0	1	1	1	0	0	1	0	0	1	1	
7	5	9	5	2	4	4	0	2	4	6	0	0	2	1	0	0	2	2	2	3	1	0	
9	2	2	5	0	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	0	2	1	
3	1	6	2	0	2	0	0	0	1	0	0	0	4	0	0	1	0	2	0	0	0	0	
