"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	"УИК №2526"	"УИК №2527"	"УИК №2528"	"УИК №2529"	"УИК №2530"	"УИК №2531"	"УИК №2532"	"УИК №2533"	"УИК №2534"	"УИК №2535"	"УИК №2536"	"УИК №2537"	"УИК №2538"	"УИК №2539"	"УИК №2540"	"УИК №2541"	"УИК №2542"	"УИК №2543"	
1921	1434	2477	2179	1828	1746	2087	1775	1639	1995	2117	2133	2110	2019	2099	1808	1469	1319	1893	2084	2448	2238	1924	2207	2116	2278	1642	1637	1826	1458	1263	1282	1176	1869	2286	2483	2337	1407	2104	1898	2432	2930	294	
1600	1100	2000	1700	1500	1500	1800	1500	1100	1700	1700	1900	2000	1800	1800	1600	1300	1100	1700	1800	2000	1900	1700	1800	1800	2000	1400	1300	1500	1300	1100	1100	1000	1500	2000	2100	2000	1200	1600	1600	2100	2600	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
856	687	1478	1275	1179	1078	1331	1033	903	1236	1267	1285	1266	1146	1246	1111	824	592	1142	1232	1525	1388	1061	1342	1154	1258	938	988	1049	660	607	798	673	924	1261	1289	1251	787	1125	980	1169	1381	286	
42	39	27	70	40	73	59	50	195	64	48	49	53	50	103	92	144	99	51	59	48	58	158	123	104	90	199	59	152	126	149	120	99	97	97	141	122	113	223	118	97	157	0	
702	374	495	355	281	349	410	417	2	400	385	566	681	604	451	397	332	409	507	509	427	454	481	335	542	652	263	253	299	514	344	182	228	479	642	670	627	300	252	502	834	1062	1214	
42	39	27	70	40	73	59	50	195	64	48	49	53	50	103	92	144	99	51	59	48	58	158	123	104	90	199	59	152	126	149	120	99	97	97	141	122	113	223	118	97	157	0	
856	687	1478	1274	1177	1078	1331	1033	903	1236	1267	1283	1266	1146	1246	1111	824	592	1141	1230	1525	1388	1061	1342	1151	1258	938	988	1048	660	607	798	673	924	1261	1288	1251	787	1125	980	1169	1381	285	
20	11	19	15	20	14	18	13	20	13	27	16	15	17	15	17	0	10	26	17	53	26	20	12	9	12	7	20	5	12	13	10	7	10	14	22	18	6	9	10	18	15	10	
878	715	1486	1329	1197	1137	1372	1070	1078	1287	1288	1316	1304	1179	1334	1186	968	681	1166	1272	1520	1420	1199	1453	1246	1336	1130	1027	1195	774	743	908	765	1011	1344	1407	1355	894	1339	1088	1248	1523	275	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	12	9	9	8	14	5	12	11	5	15	19	11	9	14	9	5	14	20	9	12	5	5	13	6	8	6	7	8	5	6	3	6	10	6	9	3	4	10	5	6	3	
80	85	143	152	165	106	154	121	135	136	149	129	156	146	147	138	107	56	148	174	206	197	96	168	130	144	125	123	125	74	67	102	85	100	113	145	136	84	146	103	162	158	47	
69	57	103	74	42	74	67	61	53	60	71	72	44	62	74	65	39	33	56	60	75	67	64	72	74	91	76	57	69	47	38	57	41	58	104	92	74	46	66	63	69	80	15	
700	542	1119	992	836	835	1048	803	802	960	984	1006	997	868	1021	874	748	556	851	891	1102	1043	951	1116	953	1026	842	751	925	592	590	684	587	773	1026	1056	1067	713	1026	861	970	1234	197	
11	11	47	44	71	43	41	37	39	57	43	42	45	40	36	38	24	15	36	59	67	47	43	47	27	30	30	47	27	20	19	31	18	29	33	45	34	25	39	23	22	22	6	
4	6	11	9	9	11	9	8	7	16	6	11	11	5	7	14	8	7	12	12	8	8	9	13	9	6	15	5	9	5	5	7	4	5	9	14	5	4	13	10	8	9	3	
5	3	13	20	29	12	6	12	10	7	13	13	14	19	7	9	10	5	15	19	19	16	10	9	13	16	11	17	7	5	8	5	9	16	16	19	12	4	19	10	8	4	3	
3	5	38	29	36	48	33	23	20	40	17	28	18	28	33	34	23	4	34	37	34	30	21	23	27	17	23	21	26	23	11	16	18	24	33	30	18	15	26	8	4	10	1	
