"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №710"	
2423	2304	2566	2066	1991	917	2299	1840	2079	2949	2690	1854	2329	2122	1524	1876	1735	2611	2421	1340	1127	2361	1410	2542	2300	1037	1019	1487	
2000	2050	2200	2000	1800	800	1800	1750	1900	2700	2300	1800	2200	1900	1500	1600	1500	2600	2300	1100	1000	2000	1300	2000	2000	1100	950	1400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1838	1734	1917	1538	1479	623	1586	1489	1649	2183	1915	1516	1982	1723	1279	1464	1411	1647	2190	1038	958	1698	1265	1823	1713	860	891	1330	
27	36	35	51	149	78	46	19	16	81	28	12	3	45	32	31	19	533	1	20	4	63	14	47	42	3	9	13	
135	280	248	411	172	99	168	242	235	436	357	272	215	132	189	105	70	420	109	42	38	239	21	130	245	237	50	57	
27	36	35	51	148	78	46	19	16	81	28	12	3	45	32	31	19	531	1	20	4	63	14	47	42	3	9	13	
1838	1734	1917	1538	1479	623	1584	1489	1648	2183	1915	1515	1982	1723	1278	1464	1411	1647	2190	1038	958	1698	1265	1823	1713	860	891	1330	
7	28	34	10	19	9	21	22	22	26	36	22	20	26	20	25	12	38	34	20	13	23	9	25	27	11	11	5	
1858	1742	1918	1579	1608	692	1609	1486	1642	2238	1907	1505	1965	1742	1290	1470	1418	2140	2157	1038	949	1738	1270	1845	1728	852	889	1338	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	9	5	12	4	1	13	3	9	14	8	14	14	5	1	10	6	18	14	5	5	10	2	11	5	9	5	4	
31	122	200	166	39	28	184	65	185	202	183	162	132	49	23	151	166	220	297	100	106	256	7	116	65	67	70	9	
33	96	127	94	24	8	96	43	101	105	119	103	50	22	20	94	87	113	121	66	49	114	2	94	34	53	71	7	
1785	1459	1515	1260	1515	645	1206	1318	1242	1839	1503	1170	1708	1652	1234	1149	1086	1730	1571	829	766	1272	1255	1573	1607	671	719	1305	
2	31	20	20	9	4	56	23	42	24	43	21	26	11	3	24	37	10	86	16	5	35	2	18	7	22	11	6	
2	7	9	5	1	0	5	6	11	11	9	6	6	2	3	6	9	14	3	3	3	9	2	8	2	7	2	3	
1	9	17	9	9	3	20	8	19	15	17	11	11	1	2	15	14	12	34	9	6	22	0	12	3	13	2	1	
3	9	25	13	7	3	29	20	33	28	25	18	18	0	4	21	13	23	31	10	9	20	0	13	5	10	9	3	
