"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	
1957	2311	2282	2202	2144	2002	1033	2353	483	282	466	372	631	1123	1167	286	1153	268	767	471	348	590	483	799	264	736	773	946	943	387	480	947	1649	411	165	764	328	1214	301	245	538	288	346	142	
1870	2265	2170	1930	2140	1965	1015	2310	482	275	475	390	625	960	970	285	1180	275	775	465	350	595	490	800	263	750	785	950	935	385	480	945	1660	420	170	785	335	1210	295	245	540	295	345	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1523	1810	1577	1453	1759	1272	815	1658	409	177	284	197	258	726	820	262	882	235	642	249	258	339	383	547	155	466	521	698	618	332	415	507	1108	350	109	471	283	896	239	180	391	208	258	105	
339	417	587	428	286	562	174	582	65	97	150	67	194	216	150	22	258	30	89	100	85	218	90	189	107	263	246	110	270	53	63	431	473	51	49	242	35	286	54	61	134	77	70	25	
8	38	6	49	95	131	26	70	8	1	41	126	173	18	0	1	40	10	44	116	7	38	17	64	1	21	18	142	47	0	2	7	79	19	12	72	17	28	2	4	15	10	17	10	
339	417	587	428	286	562	174	582	65	97	150	67	194	216	150	22	258	30	89	100	85	218	90	189	107	263	246	110	270	53	63	431	473	51	49	242	35	286	54	61	134	77	70	25	
1523	1810	1577	1453	1759	1272	815	1658	409	177	284	197	258	726	820	262	882	235	642	249	258	339	383	547	155	466	521	698	618	332	415	507	1108	350	109	471	283	896	239	180	391	208	258	105	
5	33	0	9	5	12	0	0	0	0	0	3	2	0	0	0	0	0	12	0	1	0	0	8	0	0	0	4	0	6	0	3	4	0	0	5	1	6	2	0	0	0	2	1	
1857	2194	2164	1872	2040	1822	989	2240	474	274	434	261	450	942	970	284	1140	265	719	349	342	557	473	728	262	729	767	804	888	379	478	935	1577	401	158	708	317	1176	291	241	525	285	326	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	17	16	4	5	3	1	0	1	0	3	0	0	1	1	0	1	0	0	2	2	1	0	2	0	0	6	3	2	5	2	1	7	0	0	4	0	1	0	1	0	0	1	0	
103	19	60	105	61	70	96	119	18	14	36	19	22	41	72	8	22	4	25	11	12	30	13	45	1	17	15	33	36	7	10	44	13	6	4	26	15	14	16	8	16	4	13	7	
41	89	30	53	59	79	21	90	22	4	5	11	13	30	33	8	45	4	8	12	12	18	11	37	3	19	29	32	38	5	9	16	21	12	6	38	8	20	6	8	5	4	12	6	
1705	2048	2044	1697	1894	1657	868	2026	427	256	381	227	407	861	861	266	1069	256	683	322	311	494	447	631	258	693	711	729	805	360	454	871	1522	381	148	621	292	1137	267	224	503	277	295	116	
2	7	1	3	6	5	1	1	1	0	1	0	4	2	1	1	1	0	0	1	2	3	1	3	0	0	2	3	3	0	2	1	3	1	0	6	0	1	0	0	0	0	4	0	
1	2	5	4	4	4	1	1	4	0	3	2	4	5	1	0	1	1	0	1	0	8	0	4	0	0	2	2	2	0	0	1	6	0	0	6	2	3	2	0	0	0	1	0	
2	2	5	4	5	3	1	1	0	0	3	2	0	1	0	0	1	0	3	0	1	1	1	6	0	0	2	2	1	1	0	1	3	0	0	5	0	0	0	0	1	0	0	0	
1	10	3	2	6	1	0	2	1	0	2	0	0	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	1	1	1	0	2	1	0	2	0	0	0	0	0	0	0	0	
