"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	
1791	2153	1981	1654	110	444	939	257	659	836	641	262	307	428	375	691	711	79	
1460	1820	1700	1420	100	390	800	220	560	690	550	230	270	420	330	580	600	70	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1016	1231	1161	1037	69	262	597	163	428	554	352	176	216	327	250	453	513	59	
77	99	71	43	2	15	61	19	115	40	61	24	14	43	28	56	85	10	
367	490	468	340	29	113	142	38	17	96	137	30	40	50	52	71	2	1	
77	99	71	43	2	15	61	19	115	40	61	24	14	43	28	56	85	10	
1016	1231	1161	1037	69	262	597	163	428	554	352	176	216	327	250	453	513	59	
10	19	14	19	0	2	9	0	0	4	3	2	3	2	2	7	8	2	
1083	1311	1218	1061	71	275	649	182	543	590	410	198	227	368	276	502	590	67	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	11	4	11	0	3	5	2	4	5	3	0	0	2	2	7	4	0	
362	406	426	368	20	70	178	43	116	118	85	17	49	98	31	94	151	16	
102	114	82	86	5	28	55	29	28	66	37	20	28	29	30	47	57	18	
594	750	686	569	44	172	392	107	390	390	280	159	148	233	208	346	370	32	
3	13	6	1	0	0	7	0	2	2	0	1	0	3	1	2	3	0	
7	8	8	15	0	2	5	1	2	6	5	1	1	2	2	4	1	0	
4	5	3	5	1	0	2	0	0	2	0	0	1	1	2	2	1	0	
6	4	3	6	1	0	5	0	1	1	0	0	0	0	0	0	3	1	
