"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	
1081	1878	1530	1561	266	251	349	463	303	154	322	212	657	130	499	994	261	654	311	385	243	
1000	1700	1400	1400	230	230	320	450	300	140	350	200	600	110	450	900	250	650	300	350	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
654	1145	983	860	172	129	157	276	150	78	208	104	296	69	255	478	134	336	115	203	121	
68	60	44	65	27	21	67	30	63	33	37	35	100	15	95	143	32	113	43	33	23	
278	495	373	475	31	80	96	144	87	29	105	61	204	26	100	279	84	201	142	114	86	
68	60	44	65	27	21	67	30	63	33	37	35	100	15	95	143	32	113	43	33	23	
654	1145	983	860	172	129	157	276	150	78	208	104	296	69	255	478	134	336	115	203	121	
7	24	6	12	2	0	0	3	2	0	5	0	4	0	3	9	2	9	1	1	0	
715	1181	1021	913	197	150	224	303	211	111	240	139	392	84	347	612	164	440	157	235	144	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	2	5	2	1	2	5	0	1	3	0	3	1	0	3	0	7	2	2	1	
119	200	187	165	19	35	23	56	24	8	30	9	41	7	49	72	8	67	15	30	16	
60	71	67	67	15	8	21	27	14	5	21	18	38	5	45	77	20	20	13	22	14	
504	849	726	647	159	101	170	209	171	97	176	108	297	70	243	447	133	321	120	170	107	
13	25	27	14	0	2	5	1	1	0	2	2	5	0	4	2	1	8	1	5	4	
2	8	6	5	1	1	1	0	0	0	3	0	1	1	4	5	2	1	2	4	2	
7	6	2	2	1	1	1	1	0	0	4	0	1	0	1	2	0	6	1	0	0	
4	14	4	8	0	1	1	4	1	0	1	2	6	0	1	4	0	10	3	2	0	
