"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №2296"	"УИК №2297"	"УИК №2319"	"УИК №2320"	"УИК №2323"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2348"	"УИК №2349"	
477	2273	2521	2163	2221	1513	2611	2254	2402	1746	2176	2354	2900	2785	2112	2021	1420	1668	2273	2276	2532	2431	1926	2175	2127	2443	2228	2124	2346	2778	2307	2458	2239	1960	2042	2047	1688	1955	1989	1338	2041	828	1225	2216	2223	2722	1807	2006	2022	486	1783	3457	2150	2526	2921	1873	2034	1144	1022	981	1365	1213	
400	1600	2100	2100	1500	1000	2300	1600	1800	1300	1600	1700	2000	1900	2000	2000	1200	1200	1700	2000	1700	1700	1400	1500	1400	1700	1500	1600	1700	2000	1600	1800	1600	1400	1500	1500	1200	1400	1400	1100	1500	600	1100	1600	1600	1800	1300	1400	1500	1000	1700	2100	1300	2000	1900	1400	1400	1000	800	950	1100	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
239	1200	1382	1277	1108	670	1332	1153	1328	925	1209	1433	1650	1473	1245	1090	814	1031	1439	1303	1227	1287	907	1265	899	1380	1099	1106	1181	1572	1306	1566	1264	1038	1139	1133	972	1111	1106	664	848	368	432	1285	1329	1623	1031	1196	1213	178	880	1841	1077	1397	1658	1071	1062	704	544	664	815	609	
10	19	7	26	21	2	37	24	27	37	33	33	46	80	27	48	23	20	29	27	30	29	16	26	333	44	27	33	29	53	51	40	47	49	38	46	30	14	95	6	25	87	10	33	29	23	20	24	15	293	264	23	18	113	28	29	11	9	33	2	11	9	
151	381	711	797	371	328	931	423	445	338	358	234	304	347	728	862	363	149	232	670	443	384	477	209	168	276	374	461	490	375	243	194	289	313	323	321	198	275	199	430	627	145	658	282	242	154	249	180	272	529	556	236	205	490	214	300	327	287	223	284	274	182	
10	19	7	26	21	2	37	24	27	37	33	33	46	80	27	48	23	20	29	27	30	29	16	26	333	44	27	33	29	53	51	40	47	49	38	46	30	14	95	6	25	87	10	33	29	23	20	24	15	293	264	23	18	113	28	29	11	9	33	2	11	9	
239	1200	1380	1277	1108	670	1332	1153	1324	925	1209	1431	1650	1471	1245	1090	814	1031	1436	1303	1227	1287	906	1265	899	1379	1098	1106	1179	1572	1304	1566	1264	1038	1138	1132	972	1111	1105	664	848	368	432	1285	1328	1623	1031	1195	1209	178	879	1841	1077	1397	1656	1071	1062	704	542	664	815	608	
2	12	12	14	14	10	18	10	17	9	20	12	18	15	12	10	10	14	15	18	13	12	15	8	7	13	11	6	18	14	19	15	9	10	16	16	7	14	9	5	11	2	8	17	14	20	12	15	13	4	18	16	11	15	22	6	7	5	10	14	7	6	
247	1207	1375	1289	1115	662	1351	1167	1334	953	1222	1452	1678	1536	1260	1128	827	1037	1450	1312	1244	1304	907	1283	1225	1410	1114	1133	1190	1611	1336	1591	1302	1077	1160	1162	995	1111	1191	665	862	453	434	1301	1343	1626	1039	1204	1211	467	1125	1848	1084	1495	1662	1094	1066	708	565	652	819	611	
