"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	"УИК №2922"	"УИК №2923"	"УИК №2924"	"УИК №2925"	"УИК №2926"	"УИК №2927"	"УИК №2928"	"УИК №2929"	"УИК №2930"	"УИК №2931"	"УИК №2932"	"УИК №2933"	"УИК №2934"	"УИК №2935"	"УИК №2936"	"УИК №2937"	"УИК №2938"	"УИК №2939"	"УИК №2940"	"УИК №2941"	"УИК №2942"	"УИК №2943"	"УИК №2944"	"УИК №2945"	"УИК №2946"	"УИК №2947"	"УИК №2948"	"УИК №2949"	"УИК №2950"	"УИК №2951"	"УИК №2952"	"УИК №2953"	"УИК №2954"	"УИК №2955"	"УИК №2956"	"УИК №2957"	"УИК №2958"	"УИК №2959"	"УИК №2960"	"УИК №2961"	"УИК №2962"	"УИК №2963"	
3068	2795	639	2734	2285	2517	2622	2334	2391	2505	2333	2581	1774	1557	1733	1554	2186	2121	2137	2183	2288	2761	2764	2648	2475	2081	2568	2367	2865	2663	2620	2266	2465	2675	2617	2429	2192	2523	3159	2852	3367	1816	2977	1302	2310	2702	1914	1893	1812	2209	
2600	2600	500	2500	2100	2300	2300	2100	2100	2300	2100	2400	1600	1400	1500	1400	1900	1900	2000	2000	2100	2300	2500	2400	2300	1900	2300	2200	2500	2300	2300	1900	1600	2400	2300	2200	2100	2300	2800	2400	2700	1700	2500	1200	2100	2400	1700	1700	1700	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1687	1577	399	1624	1311	1533	1422	1369	1514	1456	1323	1535	1046	871	1029	899	1369	1326	1291	1321	1420	1568	1554	1646	1496	1298	1483	1454	1458	1588	1623	1269	1490	1556	1552	1402	1386	1381	1914	1735	2197	987	1726	721	1393	1495	1185	1186	1136	1289	
68	52	0	30	36	26	22	27	28	42	68	43	32	30	27	24	31	25	30	16	15	21	45	27	34	22	53	28	85	23	25	35	20	49	61	104	48	36	75	63	40	70	9	19	18	37	33	21	13	45	
845	971	101	846	753	741	856	704	558	802	709	822	522	499	444	477	500	549	679	663	665	711	901	727	770	580	764	718	957	689	652	596	90	795	687	694	666	883	811	602	463	643	765	460	689	868	482	493	551	666	
68	52	0	30	36	26	22	27	28	42	68	43	32	30	27	24	31	25	30	16	15	21	45	27	34	22	53	28	85	23	25	35	20	49	61	103	48	36	75	63	40	70	9	19	18	37	33	21	13	45	
1687	1577	399	1624	1309	1533	1420	1368	1514	1454	1320	1530	1046	871	1028	898	1369	1326	1291	1321	1420	1568	1554	1646	1492	1298	1483	1452	1458	1588	1622	1269	1489	1556	1552	1401	1386	1375	1914	1735	2197	987	1726	721	1393	1495	1185	1186	1136	1289	
17	17	7	18	18	20	21	15	27	11	17	20	13	8	11	11	17	11	17	19	20	21	13	27	14	18	12	19	16	48	20	15	20	11	32	21	20	21	19	12	24	51	21	9	16	23	21	13	11	20	
1738	1612	392	1636	1327	1539	1421	1380	1515	1485	1371	1553	1065	893	1044	911	1383	1340	1304	1318	1415	1568	1586	1646	1512	1302	1524	1461	1527	1563	1627	1289	1489	1594	1581	1483	1414	1390	1970	1786	2213	1006	1714	731	1395	1509	1197	1194	1138	1314	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	11	0	14	16	13	9	17	18	16	10	14	14	12	12	3	14	21	13	7	8	14	25	16	12	8	14	18	15	20	4	14	13	14	21	18	16	19	17	19	13	6	10	9	8	17	12	9	8	19	
195	213	62	194	169	185	195	179	193	210	189	217	162	121	148	120	177	164	173	149	180	199	182	176	178	131	136	179	178	198	219	192	233	210	207	177	178	206	212	193	288	88	222	102	182	160	143	132	125	145	
96	59	7	85	50	74	53	66	77	50	52	69	32	34	40	34	51	52	61	60	69	78	81	67	44	77	78	75	63	66	84	67	82	81	68	70	62	57	90	92	88	63	38	42	66	74	52	73	70	75	
1310	1205	266	1216	976	1151	956	974	1112	1046	963	1093	718	602	714	639	1031	1027	933	1007	1059	1166	1182	1226	1136	1005	1170	1090	1153	1146	1195	892	1023	1161	1147	1115	1042	981	1510	1327	1531	785	1235	514	1026	1116	909	904	862	969	
40	51	23	60	47	54	107	62	49	71	66	73	67	53	48	58	55	41	59	43	37	44	49	88	57	33	59	46	47	53	53	51	70	59	62	40	45	59	49	71	135	32	101	30	52	56	29	34	34	34	
9	7	4	5	10	8	5	7	11	7	8	21	7	3	6	8	9	9	11	9	9	9	12	8	7	9	14	8	11	15	12	6	10	13	5	8	8	9	15	17	10	6	12	4	14	10	8	8	8	14	
31	17	11	25	27	26	32	29	19	27	31	29	26	24	24	15	17	10	23	18	29	24	16	25	28	12	14	12	24	25	17	27	19	20	27	17	25	21	33	25	38	15	32	7	22	26	13	11	14	21	
43	49	19	37	32	28	64	46	36	58	52	37	39	44	52	34	29	16	31	25	24	34	39	40	50	27	39	33	36	40	43	40	39	36	44	38	38	38	44	42	110	11	64	23	25	50	31	23	17	37	
