"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	
709	354	699	897	499	300	662	1334	1636	561	1326	1506	272	1193	864	385	277	456	522	494	684	
670	327	673	836	479	272	640	1238	1507	531	1230	1358	235	1079	814	338	257	414	492	461	681	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
400	128	307	535	255	153	377	999	1318	383	1060	1201	102	638	599	230	109	380	373	258	416	
171	88	147	191	35	22	136	114	48	70	60	93	31	70	93	35	50	24	50	51	126	
99	111	219	110	189	97	127	125	141	78	110	64	102	371	122	73	98	10	69	152	139	
171	88	147	191	35	22	136	114	48	70	60	93	31	70	93	35	50	24	50	51	126	
400	128	307	535	255	153	377	999	1318	383	1060	1201	102	638	599	230	109	380	373	258	416	
9	2	1	5	1	1	0	6	9	16	10	2	1	5	0	3	0	2	0	5	2	
562	214	453	721	289	174	513	1107	1357	437	1110	1292	132	703	692	262	159	402	423	304	540	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	3	4	1	0	1	2	2	1	3	2	5	3	0	1	2	2	1	2	
61	47	43	37	42	11	42	70	125	19	99	82	15	99	65	21	13	43	25	35	99	
22	8	23	20	22	11	19	49	41	27	47	50	9	43	30	20	14	18	29	15	25	
468	152	382	652	217	137	445	977	1177	384	946	1143	102	542	584	220	128	322	353	247	407	
6	4	2	3	3	8	4	5	4	3	5	3	1	6	7	0	2	10	7	2	4	
1	0	2	3	0	6	2	3	2	1	7	8	1	2	2	1	1	7	3	2	1	
0	1	0	2	0	0	1	1	4	0	4	0	2	4	0	0	0	0	0	2	2	
3	1	0	1	1	0	0	1	2	1	1	3	0	2	1	0	0	0	4	0	0	
