"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1959"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1963"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	
1768	2039	192	448	255	219	92	232	234	204	290	117	62	62	124	
1794	2075	192	447	255	222	93	234	241	210	289	116	62	61	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1074	1376	152	245	200	124	70	156	97	145	223	72	43	29	87	
183	152	32	165	30	62	16	42	103	41	40	31	14	30	23	
537	547	8	37	25	36	7	36	41	24	26	13	5	2	15	
183	152	32	165	30	62	16	42	103	41	40	31	14	30	23	
1074	1376	152	245	200	124	70	156	97	145	223	72	43	29	87	
12	16	1	1	2	2	1	0	0	2	0	1	0	0	0	
1245	1512	183	409	228	184	85	198	200	184	263	102	57	59	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	11	0	3	3	0	1	2	0	3	0	0	0	0	1	
150	211	10	31	32	27	11	20	20	13	11	2	2	4	12	
84	122	12	45	13	23	13	24	11	19	15	5	0	2	6	
967	1147	156	326	178	126	57	144	169	149	237	95	55	52	89	
8	10	0	1	0	2	1	1	0	0	0	0	0	0	0	
6	4	4	2	2	5	1	2	0	0	0	0	0	0	0	
9	6	1	0	0	0	1	3	0	0	0	0	0	0	1	
5	1	0	1	0	1	0	2	0	0	0	0	0	1	1	
