"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №412"	"УИК №735"	"УИК №736"	
2163	2184	1102	1760	939	2221	2163	2102	855	1767	2273	2138	1872	2447	1888	1530	1067	2109	2480	2364	1857	2651	1879	698	581	156	
1700	1700	800	1400	700	1800	1800	1900	700	1400	1900	1800	1500	2100	1700	1300	800	1700	2000	1900	1600	2100	1500	600	700	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1320	1342	760	1217	625	1547	1439	1442	548	1222	1442	1503	1257	1742	1285	1000	704	1290	1511	1720	1208	1785	1336	465	574	152	
27	23	5	25	11	31	36	43	18	10	55	37	44	48	25	30	11	46	94	23	27	29	16	3	0	0	
353	335	35	158	64	222	325	415	134	168	403	260	199	310	390	270	85	364	395	157	365	286	148	132	126	348	
27	23	5	25	11	31	36	43	18	10	55	37	44	48	25	30	11	46	94	23	27	29	16	3	0	0	
1320	1342	760	1216	625	1547	1439	1441	548	1221	1441	1503	1257	1742	1284	1000	704	1289	1511	1718	1206	1781	1336	465	574	152	
37	23	18	29	19	20	23	24	8	26	26	26	19	33	23	19	14	18	26	38	21	29	15	11	1	8	
1310	1342	747	1212	617	1558	1452	1460	558	1205	1470	1514	1282	1757	1286	1011	701	1317	1579	1703	1212	1781	1337	457	573	144	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	13	9	14	5	13	18	6	5	9	17	19	13	8	12	10	4	12	19	18	12	14	11	2	5	2	
121	136	89	130	53	168	139	168	60	149	153	185	122	237	138	120	55	148	145	198	159	205	148	46	28	4	
136	156	70	111	54	148	125	148	43	130	140	136	113	143	112	108	65	115	181	147	111	167	128	53	62	40	
990	972	539	898	467	1128	1080	1057	424	833	1042	1046	948	1267	948	710	528	935	1150	1224	870	1292	973	335	436	78	
20	34	16	20	15	47	32	37	15	38	47	52	40	36	29	24	18	44	38	48	20	37	22	10	20	17	
11	17	4	10	4	10	14	10	2	10	13	13	5	9	8	11	5	12	10	10	10	17	7	1	4	1	
13	8	8	13	8	18	20	11	2	13	21	22	14	17	17	10	9	18	17	17	12	15	25	4	10	2	
12	6	12	16	11	26	24	23	7	23	37	41	27	40	22	18	17	33	19	41	18	34	23	6	8	0	
