"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	
1331	1441	1272	286	234	301	293	931	444	306	303	354	228	258	607	278	342	
1150	1260	1170	280	220	280	270	750	400	280	250	300	200	220	500	240	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
797	844	835	184	161	254	172	601	263	184	165	248	139	141	278	120	157	
67	150	133	59	29	13	79	145	97	47	63	52	41	67	131	87	115	
286	266	202	37	30	13	19	4	40	49	22	0	20	12	91	33	28	
67	150	133	59	29	13	79	145	97	47	63	52	41	67	131	87	115	
797	844	835	184	161	254	172	601	263	184	165	248	139	141	278	120	157	
10	18	14	0	3	2	2	6	2	4	2	2	1	0	5	1	1	
854	976	954	243	187	265	249	740	358	227	226	298	179	208	404	206	271	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	8	1	1	0	0	2	0	0	3	0	3	0	0	0	0	1	
78	101	58	17	6	11	12	45	17	17	3	10	10	12	15	15	22	
60	62	49	16	8	15	11	28	17	17	20	15	11	16	29	21	22	
691	787	831	203	172	236	220	661	318	177	201	266	156	176	354	169	224	
5	8	5	2	1	1	2	4	2	2	1	0	2	2	3	0	1	
9	2	5	3	0	1	2	1	3	6	1	3	0	1	2	1	1	
2	3	2	0	0	1	0	1	1	5	0	1	0	0	0	0	0	
7	5	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	
