"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №1901"	
1165	565	1282	1424	1453	1475	1213	1396	1395	1780	2486	740	2168	2678	98	
950	450	1050	1300	1150	1200	1300	1050	1150	1750	2500	600	2150	2600	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
684	364	642	737	817	850	755	870	952	1134	1648	358	1624	1696	61	
72	36	41	58	78	61	51	57	59	35	114	29	54	71	32	
194	50	367	505	255	289	494	123	139	581	738	213	472	833	107	
72	36	41	58	78	61	51	57	59	35	114	29	54	71	32	
684	364	642	737	817	850	755	870	952	1134	1648	358	1586	1696	61	
5	7	9	7	13	14	15	20	13	10	23	7	25	15	2	
751	393	674	788	882	897	791	907	998	1159	1739	380	1615	1752	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	4	4	3	3	3	5	6	4	14	5	11	7	2	
174	90	145	196	234	252	207	227	220	263	377	100	261	403	12	
69	30	58	78	69	79	66	70	78	133	137	33	127	134	10	
486	260	450	484	569	540	495	578	664	727	1169	238	1166	1176	62	
7	2	3	10	1	2	8	6	10	13	19	3	22	16	2	
4	3	10	7	3	10	4	10	8	9	10	1	10	2	1	
1	3	2	3	1	6	5	7	2	3	7	0	9	8	0	
4	1	2	6	2	5	3	4	10	7	6	0	9	6	2	
