"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	
2176	156	241	161	291	281	538	249	110	166	741	164	
2340	200	280	190	330	315	610	280	130	180	850	190	
0	0	0	0	0	0	0	0	0	0	0	0	
1164	109	141	92	119	142	269	169	69	94	419	91	
190	20	56	28	94	76	150	33	11	37	151	36	
986	71	83	70	117	97	191	78	50	49	280	63	
190	20	56	28	94	76	150	33	11	37	151	36	
1164	109	141	92	119	142	269	169	69	94	419	91	
17	0	1	2	1	0	0	0	0	0	5	0	
1337	129	196	118	212	218	419	202	80	131	565	127	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

9	1	1	0	0	0	7	0	2	0	4	1	
277	16	27	11	31	21	79	24	15	15	87	16	
131	10	29	11	15	20	37	10	13	13	78	8	
883	96	136	93	163	174	283	163	47	101	380	99	
12	2	1	0	2	2	4	1	0	2	5	0	
13	2	1	2	1	1	1	2	2	0	3	2	
6	2	1	0	0	0	4	1	0	0	6	1	
6	0	0	1	0	0	4	1	1	0	2	0	
