"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №3632"	
2373	2620	2571	2416	3178	2309	851	
1650	1750	1850	1750	2200	1700	825	
0	0	0	0	0	0	0	
1232	1499	1361	1320	1705	1238	338	
73	46	58	47	59	82	399	
345	206	431	383	436	380	88	
73	46	58	47	59	82	396	
1232	1494	1360	1314	1703	1234	338	
11	21	18	17	21	20	6	
1294	1519	1400	1344	1741	1296	728	
0	0	0	0	0	0	0	
0	1	0	0	0	0	0	

15	19	22	12	17	17	7	
184	201	193	212	214	141	122	
54	32	45	61	60	42	40	
797	989	916	875	1163	836	502	
121	134	101	98	124	101	27	
6	9	20	8	11	9	5	
24	43	35	25	46	37	9	
93	92	68	53	106	113	16	
