"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	
1078	1158	1293	934	774	426	764	266	583	263	430	569	541	248	558	446	410	181	314	785	156	533	408	93	470	419	369	268	
1050	1195	1335	955	785	435	815	275	625	305	445	575	555	245	560	455	405	185	305	805	150	535	410	95	480	420	415	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
746	908	626	490	432	327	506	197	324	156	243	339	237	114	181	195	316	142	284	703	129	274	282	71	366	166	269	164	
104	51	97	85	56	15	56	33	88	15	55	53	66	25	100	32	57	16	18	56	10	50	57	8	28	74	56	54	
200	236	612	380	297	93	253	45	213	134	147	183	252	106	279	228	32	27	3	46	11	211	71	16	86	180	90	52	
104	51	97	85	56	15	56	33	88	15	55	53	66	25	100	32	57	16	18	56	10	50	57	8	28	74	56	54	
746	908	626	490	432	327	506	197	323	156	243	339	237	114	181	195	316	142	284	703	129	274	282	71	366	166	269	164	
2	3	4	3	6	3	4	0	7	4	3	2	0	1	1	0	0	0	0	0	0	6	0	0	1	1	2	0	
848	956	719	572	482	339	558	230	404	167	295	390	303	138	280	227	373	158	302	759	139	318	339	79	393	239	323	218	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	6	1	5	2	2	0	3	1	3	1	1	1	2	1	1	0	3	5	0	3	2	1	2	3	0	1	
134	154	135	35	90	68	61	15	29	20	21	75	35	10	39	40	86	5	9	19	9	22	41	19	25	20	16	9	
17	42	61	8	23	20	60	22	46	15	17	19	27	6	14	11	3	8	6	10	2	9	14	4	19	6	12	11	
685	730	493	526	353	241	421	189	317	126	251	288	235	121	217	173	280	144	273	709	127	280	277	52	343	204	295	188	
4	9	8	1	3	0	5	3	5	1	0	2	1	0	6	0	0	0	2	2	0	2	2	1	1	2	0	4	
3	3	7	0	2	4	2	0	1	3	3	2	1	0	2	1	2	0	3	7	1	2	2	1	1	2	0	2	
1	4	4	1	4	1	3	1	1	1	0	2	0	0	0	1	0	1	3	3	0	0	1	1	1	0	0	0	
2	8	5	0	2	3	4	0	2	0	0	1	3	0	0	0	1	0	3	4	0	0	0	0	1	2	0	3	
