"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	
2335	1830	1510	1351	2205	2753	2749	2284	2076	2473	2780	2492	1780	1732	2340	2977	2707	2610	1534	1598	2563	1974	1864	480	1345	434	391	1099	
1750	1400	1100	1050	1700	2350	2000	1800	1650	2000	2100	1900	1400	1350	1850	2300	2300	2000	1200	1300	2000	1550	1450	450	1000	400	350	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1489	1228	965	846	1223	1823	1313	1188	1125	1281	1511	1272	1103	957	1299	1506	1999	1490	755	790	1504	1284	1113	247	564	215	239	882	
35	26	27	27	65	145	324	20	35	30	30	27	6	13	40	52	8	20	10	11	37	16	36	3	22	110	4	0	
226	146	108	177	412	382	363	592	490	689	559	601	291	380	511	742	293	490	435	499	459	250	301	200	414	75	107	18	
35	26	27	27	65	145	324	20	35	30	30	27	6	13	40	52	8	20	10	11	37	16	36	3	22	110	4	0	
1488	1227	965	846	1223	1822	1313	1182	1125	1281	1511	1272	1103	957	1299	1506	1999	1490	755	789	1504	1284	1113	247	564	215	239	882	
14	17	17	10	17	35	15	16	10	13	20	26	13	10	21	21	33	19	13	11	21	12	18	2	7	46	0	8	
1509	1236	975	863	1271	1932	1622	1186	1150	1298	1521	1273	1096	960	1318	1537	1974	1491	752	789	1520	1288	1131	248	579	279	243	874	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	12	6	4	9	9	7	3	9	6	8	8	4	4	7	8	10	4	2	10	5	9	5	1	3	15	2	0	
343	314	221	173	267	468	365	236	254	337	317	290	240	194	270	352	338	337	225	180	343	287	239	74	133	41	35	72	
144	128	117	76	128	161	145	136	123	146	173	146	128	120	162	186	223	154	90	115	184	131	128	35	76	36	17	43	
964	740	603	575	827	1242	1060	780	737	782	1000	795	687	622	847	963	1301	953	425	450	957	814	739	131	361	175	185	721	
21	15	9	10	14	21	28	10	12	11	7	11	13	6	6	9	68	16	4	21	13	20	6	4	4	3	1	26	
12	12	8	12	11	6	5	8	8	8	11	9	5	3	10	8	8	8	5	4	11	10	5	0	0	4	0	2	
4	5	4	4	5	10	8	8	5	5	1	9	9	6	8	7	11	12	1	5	5	12	5	2	2	2	2	2	
7	10	7	9	10	15	4	5	2	3	4	5	10	5	8	4	15	7	0	4	2	5	4	1	0	3	1	8	
