"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №1254"	"УИК №1261"	"УИК №1262"	
468	1202	1176	1275	1907	2158	1530	1997	937	1149	1330	1175	1169	1175	2790	1495	1218	1965	1416	921	1331	1245	360	928	193	190	243	511	268	387	161	650	1259	318	308	773	100	134	137	153	317	238	681	248	367	163	844	1382	490	851	282	1248	412	199	477	411	160	630	244	1714	571	254	399	159	337	182	90	1677	2302	
460	1150	1150	1150	1850	2130	1500	1950	930	1140	1300	1150	1150	1150	2790	1490	1200	1970	1400	920	1330	1250	360	930	194	190	243	510	270	389	155	645	1260	320	310	770	100	135	135	150	319	235	683	249	369	150	840	1380	480	850	283	1250	410	200	475	410	155	630	240	1720	570	255	398	160	330	184	90	1680	2310	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
330	730	856	770	1232	1219	836	1117	613	656	1063	660	636	682	1632	840	908	1137	888	809	1172	856	298	858	156	111	193	375	175	316	132	502	716	249	263	557	85	110	97	124	276	191	437	168	250	104	652	1095	381	745	250	790	286	163	344	387	127	579	185	1431	506	225	275	148	202	137	90	1677	2302	
57	33	35	72	81	95	119	212	76	121	56	58	72	55	97	99	136	128	99	31	125	85	54	42	19	26	27	78	33	42	14	83	120	36	15	68	12	16	22	17	39	28	61	44	70	38	75	102	51	72	28	144	48	31	85	19	22	21	42	73	50	23	23	4	36	8	0	0	0	
73	387	259	308	537	816	545	621	241	363	181	432	442	413	1061	551	156	705	413	80	33	309	8	30	19	53	23	57	62	31	9	60	424	35	32	145	3	9	16	9	4	16	185	37	49	8	113	183	48	33	5	316	76	6	46	4	6	30	13	216	14	7	100	8	92	39	0	3	8	
57	33	35	72	81	95	119	212	76	121	56	58	72	55	97	99	136	128	99	31	125	85	54	42	19	26	27	78	33	42	14	83	120	36	15	68	12	16	22	17	39	28	61	44	70	38	75	102	51	72	28	144	48	31	85	19	22	21	42	73	50	23	23	4	36	8	0	0	0	
330	730	856	770	1232	1219	836	1117	613	656	1063	660	636	682	1632	840	908	1137	888	809	1172	771	298	858	156	111	193	375	175	316	132	502	716	249	263	557	85	110	97	124	276	191	437	168	250	104	652	1095	381	745	250	790	286	163	344	387	127	579	185	1431	506	225	275	148	202	137	90	1677	2302	
4	10	13	5	27	20	14	21	6	8	5	3	0	7	14	16	7	15	5	7	7	8	8	5	2	1	0	7	3	2	1	4	11	0	1	12	0	2	0	0	0	1	6	1	3	0	6	9	2	8	5	13	4	1	0	6	1	5	1	14	6	1	5	0	1	1	1	2	11	
383	753	878	837	1286	1294	941	1308	683	769	1114	715	708	730	1715	923	1037	1250	982	833	1290	848	344	895	173	136	220	446	205	356	145	581	825	285	277	613	97	124	119	141	315	218	492	211	317	142	721	1188	430	809	273	921	330	193	429	400	148	595	226	1490	550	247	293	152	237	144	89	1675	2291	
