"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	
595	674	474	502	1041	747	637	220	262	1464	1223	1334	2397	1367	1886	1921	538	1077	818	324	301	448	483	591	397	428	574	522	385	456	316	344	
550	640	375	500	950	650	600	210	240	1300	1100	1200	2000	1200	1800	1800	500	1000	750	330	320	450	450	550	350	400	550	500	380	450	340	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
330	408	300	187	582	474	259	134	140	664	633	695	1266	759	1184	1016	332	687	496	205	153	249	306	388	229	255	243	237	248	196	156	158	
34	37	47	88	38	24	43	13	39	22	35	48	113	68	51	93	23	87	91	26	24	43	49	17	22	13	136	86	25	60	44	49	
186	195	28	225	330	152	298	63	61	614	432	457	621	373	565	691	145	226	163	99	143	158	95	145	99	132	171	177	107	194	140	143	
34	37	47	88	38	24	43	13	39	22	35	48	113	68	51	93	23	87	91	26	24	43	49	17	22	13	136	86	25	60	44	49	
330	408	300	187	582	474	259	134	140	642	633	695	1266	759	1184	1016	332	687	496	205	153	249	306	388	229	255	243	237	248	196	156	158	
2	3	2	2	5	7	3	1	2	5	14	14	21	16	20	13	4	12	3	6	1	2	8	2	2	0	2	7	0	2	2	0	
362	442	345	273	615	491	299	146	177	659	654	729	1358	811	1215	1096	351	762	584	225	176	290	347	403	249	268	377	316	273	254	198	207	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	0	2	5	0	1	1	3	11	3	4	7	9	10	18	1	3	3	1	2	1	1	1	0	0	2	1	4	5	1	1	
31	77	30	27	69	67	34	28	24	109	87	76	209	112	155	161	31	95	34	8	14	30	28	41	39	12	77	35	23	6	7	17	
30	24	33	20	45	39	35	15	13	56	86	104	96	72	146	106	30	54	53	31	16	15	26	44	28	20	32	34	22	19	16	25	
281	319	268	213	470	361	220	98	127	458	454	516	1004	591	861	764	277	595	478	180	140	228	284	302	173	230	256	241	220	223	171	162	
7	10	5	1	12	7	3	1	4	15	10	14	18	12	15	18	5	4	5	1	0	7	3	7	1	3	3	2	0	1	1	1	
3	0	1	1	5	2	2	1	2	3	5	5	3	7	12	7	3	4	10	1	2	4	4	3	3	1	2	2	2	0	1	0	
3	9	4	6	7	8	3	1	4	4	4	6	12	0	9	17	1	6	1	2	1	1	0	3	2	1	1	0	2	0	1	0	
3	2	4	3	2	7	1	1	0	3	5	4	9	8	7	5	3	1	0	1	1	4	1	2	3	1	4	1	0	0	0	1	
