"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	
2529	2472	1414	689	382	2074	1999	2110	1219	2401	902	2024	2585	902	1741	1550	543	103	1073	796	708	306	635	428	348	123	179	395	284	170	107	162	101	339	338	137	99	77	196	468	183	
2527	2523	1441	662	389	2108	2008	2147	1230	2448	902	2024	2637	920	1786	1550	550	110	1197	815	747	312	657	437	356	130	185	406	290	172	109	169	103	342	355	203	102	96	196	478	188	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2368	2287	1320	577	360	1929	1899	2005	1158	2202	857	1870	2456	857	1642	1441	516	103	1059	499	635	287	499	423	291	93	146	360	264	146	101	158	96	316	338	137	69	77	178	449	176	
82	16	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	14	25	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
77	220	121	85	28	179	109	142	72	246	45	154	181	63	133	109	34	7	124	291	112	18	158	14	65	37	39	42	26	26	8	11	7	26	10	66	33	19	18	29	12	
82	16	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	14	25	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
2368	2287	1320	577	360	1929	1899	2005	1158	2202	857	1870	2456	857	1642	1441	516	103	1059	474	635	287	499	423	291	93	146	360	264	146	101	158	96	316	338	137	69	77	178	449	176	
0	0	0	6	13	0	0	0	1	29	0	8	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	
2450	2303	1320	571	347	1929	1899	2005	1157	2173	857	1862	2456	857	1653	1441	516	103	1073	496	635	294	499	423	290	93	146	363	264	146	101	158	96	316	338	137	68	77	178	449	176	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	1	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	158	30	29	23	97	95	100	46	180	42	168	126	43	121	72	26	7	155	59	68	35	18	3	34	52	28	11	16	6	6	9	4	18	15	38	8	4	12	31	12	
2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	4	2	5	2	2	0	0	5	0	0	0	0	0	0	0	2	0	0	1	0	0	0	
2339	2145	1290	542	324	1832	1804	1905	1100	1979	815	1694	2330	814	1532	1369	490	95	907	429	561	253	468	410	250	40	110	352	248	140	95	149	92	298	321	99	60	72	166	418	164	
2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	4	3	1	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	2	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
