"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №2819"	"УИК №2820"	"УИК №2821"	"УИК №2822"	"УИК №2823"	"УИК №2824"	"УИК №2825"	"УИК №2826"	"УИК №2827"	"УИК №2828"	"УИК №2829"	"УИК №2830"	"УИК №2831"	"УИК №2832"	"УИК №2833"	"УИК №2834"	"УИК №2835"	"УИК №2836"	"УИК №2837"	"УИК №2838"	"УИК №2839"	"УИК №2840"	"УИК №2841"	"УИК №2842"	"УИК №2843"	"УИК №2844"	"УИК №2845"	"УИК №2846"	"УИК №2847"	"УИК №2848"	"УИК №2849"	"УИК №2850"	"УИК №2851"	"УИК №2852"	"УИК №2853"	"УИК №2854"	"УИК №2855"	"УИК №2856"	"УИК №2857"	"УИК №2858"	"УИК №2859"	"УИК №2860"	"УИК №2861"	"УИК №2862"	"УИК №2863"	"УИК №2864"	
2390	1763	1731	2321	1871	1365	1597	1374	1608	1368	1845	2131	1566	1472	2315	1582	1273	1398	1959	1792	583	1609	2302	1948	1432	2212	2274	2119	1658	2214	2428	1682	2250	2097	2578	1936	2231	2014	1781	2765	1868	2063	1967	3162	3064	2775	2845	1902	1923	1633	1695	1665	2491	2027	2691	1404	1801	2430	2572	2845	261	188	453	317	
2000	1600	1500	1900	1600	1300	1400	1100	1400	1200	1600	1700	1200	1200	1900	1400	1000	1200	1700	1400	600	1400	1800	1700	1300	1900	1900	1800	1400	1900	2000	1400	1800	1700	2200	1600	1900	1700	1400	2200	2000	1700	1600	2400	2400	2300	2300	1600	1600	1300	1300	1400	2100	1700	2200	1100	1500	2000	2200	2200	300	300	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1582	1106	1149	1521	1138	941	1064	801	982	873	990	1244	882	859	1416	1026	770	876	1144	1147	362	928	1430	1221	902	1247	1326	1458	1040	1471	1622	1092	1422	1367	1624	1243	1397	1311	1145	1721	1238	1343	1195	1782	2004	1935	1687	1143	1104	964	1002	1011	1515	1200	1731	805	1168	1581	1568	1848	247	188	453	317	
41	26	32	26	16	20	23	44	30	24	51	52	39	113	49	46	25	41	71	48	5	45	59	33	68	37	34	30	28	40	25	39	46	32	45	29	39	25	33	36	17	31	30	31	23	32	39	50	53	34	39	47	25	46	18	18	20	32	22	50	0	0	0	0	
377	468	319	353	446	339	313	255	388	303	559	404	277	228	435	328	205	283	485	205	233	427	311	446	330	616	540	312	332	389	353	269	332	301	531	328	464	364	222	443	745	326	375	587	373	333	574	407	443	302	259	342	560	454	451	277	312	387	610	302	53	112	47	182	
41	26	32	26	16	20	23	44	30	24	51	52	39	113	49	46	25	41	71	48	5	45	59	33	68	37	34	30	28	40	25	39	46	32	45	29	39	25	33	36	17	31	30	31	23	32	39	50	53	34	39	47	25	46	18	18	20	32	22	50	0	0	0	0	
1573	1106	1148	1521	1138	941	1064	801	982	873	990	1244	882	859	1414	1026	770	876	1144	1147	362	928	1430	1221	902	1246	1326	1458	1040	1471	1622	1092	1422	1366	1624	1243	1397	1311	1145	1721	1238	1343	1195	1782	2004	1935	1687	1143	1104	964	1002	1011	1515	1200	1731	804	1168	1581	1567	1848	247	188	453	316	
20	20	16	17	17	10	18	6	15	12	16	13	10	15	21	20	11	12	23	11	11	6	30	24	18	14	19	18	11	15	13	17	19	11	27	30	17	20	18	17	13	16	18	18	32	21	20	12	19	20	12	13	13	15	39	12	15	13	20	20	4	2	8	3	
1594	1112	1164	1530	1137	951	1069	839	997	885	1025	1283	911	957	1442	1052	784	905	1192	1184	356	967	1459	1230	952	1269	1341	1470	1057	1496	1634	1114	1449	1387	1642	1242	1419	1316	1160	1740	1242	1358	1207	1795	1995	1946	1706	1181	1138	978	1029	1045	1527	1231	1710	810	1173	1600	1569	1878	243	186	445	313	
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	11	5	15	4	8	6	11	8	6	8	8	9	9	17	15	6	6	5	20	4	10	12	12	7	11	15	8	7	9	19	10	9	12	17	9	6	23	13	15	9	15	9	23	17	21	18	8	9	6	11	5	10	8	8	5	7	11	11	11	2	1	3	6	
170	102	125	153	141	89	112	71	78	87	117	122	111	119	157	107	90	99	129	129	62	106	156	117	90	147	131	135	108	149	178	106	171	150	166	144	152	151	117	169	118	125	114	143	206	205	162	120	101	114	79	104	170	90	197	49	131	196	169	204	34	18	56	40	
77	69	67	79	69	42	43	43	40	44	66	76	41	45	64	40	42	37	42	45	22	47	67	80	47	92	92	77	62	75	75	52	58	81	83	54	79	66	67	83	84	76	99	102	132	105	90	68	82	66	62	60	74	94	99	65	72	78	95	107	24	20	26	39	
