"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	
315	152	302	248	130	241	212	292	166	351	198	255	668	127	132	357	219	251	83	431	47	158	146	273	261	635	122	72	189	174	216	62	345	1693	1331	1505	1668	229	302	
313	155	306	255	128	250	216	279	170	379	200	282	740	143	145	369	226	267	86	475	61	155	147	298	274	660	128	75	213	180	221	61	357	1700	1350	1500	1650	233	313	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
211	114	272	148	76	185	150	168	93	237	146	173	471	85	98	235	188	127	57	285	37	105	88	177	161	485	103	64	133	114	161	39	271	1079	938	1002	1126	156	197	
42	18	17	11	18	27	14	34	25	41	14	29	64	17	10	47	15	75	6	61	3	37	11	44	45	41	7	5	21	23	17	7	24	127	113	119	97	21	39	
60	23	17	96	34	38	52	77	52	101	40	80	205	41	37	87	23	65	23	129	21	13	48	77	68	134	18	6	59	43	43	15	62	494	299	379	427	56	77	
42	18	17	11	18	27	14	34	25	41	14	29	64	17	10	47	15	75	6	61	3	37	11	44	45	41	7	5	21	23	17	7	24	127	113	119	97	21	39	
211	114	272	148	76	185	150	168	93	237	146	173	471	85	98	235	188	127	57	285	37	105	88	177	161	485	103	64	133	114	161	39	271	1079	938	1002	1126	156	197	
1	0	0	0	0	4	1	2	0	0	1	0	2	1	1	2	2	2	0	2	0	1	1	3	1	7	0	0	0	0	1	2	2	12	10	9	21	0	2	
252	132	289	159	94	208	163	200	118	278	159	202	533	101	107	280	201	200	63	344	40	141	98	218	205	519	110	69	154	137	177	44	293	1194	1041	1112	1202	177	234	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	2	0	0	0	3	3	2	1	0	0	2	1	1	3	1	0	0	2	1	0	1	3	0	3	1	0	2	1	2	1	2	10	10	4	6	0	3	
24	18	5	23	8	8	12	26	9	79	20	46	131	8	27	20	21	22	6	32	2	13	21	25	39	72	7	4	18	18	21	3	26	255	197	252	226	19	34	
8	6	2	18	11	9	5	8	12	25	3	9	11	4	1	29	13	9	7	31	3	8	4	14	16	9	0	1	3	11	15	1	3	92	40	68	78	19	17	
215	104	280	116	75	185	138	159	94	167	134	144	375	86	74	225	162	168	49	264	34	120	71	168	141	420	99	63	130	102	134	39	257	820	770	763	851	137	178	
1	1	0	0	0	4	0	1	0	2	1	2	3	0	2	2	2	0	1	2	0	0	1	3	2	7	0	0	1	1	3	0	2	6	5	6	12	0	1	
2	3	0	1	0	0	3	3	1	3	1	0	5	2	2	1	2	0	0	8	0	0	0	5	4	4	1	1	0	1	1	0	1	10	8	5	18	1	0	
0	0	0	1	0	2	1	0	0	1	0	0	4	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	2	0	8	10	5	1	1	
0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	2	2	2	0	0	3	1	0	0	1	3	4	6	0	0	
