"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №692"	"УИК №693"	"УИК №695"	
979	1010	1143	1094	1458	675	533	994	976	248	255	264	145	207	
1000	1000	1100	1000	1500	700	550	1000	1000	250	250	300	180	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
525	582	551	597	782	337	245	448	465	156	83	134	105	146	
46	64	66	42	71	82	34	77	117	13	76	35	34	13	
429	354	483	361	647	281	271	475	418	81	91	131	41	61	
46	64	66	42	71	82	34	77	117	13	76	35	34	13	
525	582	551	597	782	337	245	448	465	156	83	134	105	146	
6	10	7	8	7	2	3	6	6	0	1	1	0	0	
565	636	610	631	846	417	276	519	576	169	158	168	139	159	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	5	1	5	4	3	3	5	1	1	0	4	0	
81	94	90	86	129	52	20	74	62	6	9	17	24	22	
50	70	51	64	108	44	34	68	63	22	15	19	11	14	
412	448	448	449	573	308	209	362	437	137	129	128	98	120	
7	5	5	7	13	2	2	5	5	1	1	1	2	2	
4	5	6	13	8	1	2	3	0	2	1	0	0	0	
5	7	3	6	4	4	3	3	4	0	1	3	0	1	
3	5	2	5	6	2	3	1	0	0	1	0	0	0	
