"УИК №3046"	"УИК №3047"	"УИК №3048"	"УИК №3049"	"УИК №3050"	"УИК №3051"	"УИК №3052"	"УИК №3053"	"УИК №3054"	"УИК №3055"	"УИК №3056"	"УИК №3057"	"УИК №3058"	"УИК №3059"	"УИК №3060"	"УИК №3061"	"УИК №3062"	"УИК №3063"	"УИК №3064"	"УИК №3065"	"УИК №3066"	"УИК №3067"	"УИК №3068"	"УИК №3069"	"УИК №3070"	"УИК №3071"	"УИК №3072"	"УИК №3073"	"УИК №3074"	"УИК №3075"	"УИК №3076"	"УИК №3077"	"УИК №3078"	"УИК №3079"	"УИК №3080"	"УИК №3081"	"УИК №3082"	"УИК №3083"	"УИК №3084"	"УИК №3085"	"УИК №3086"	"УИК №3087"	"УИК №3088"	"УИК №3089"	"УИК №3090"	"УИК №3493"	"УИК №3494"	"УИК №3505"	"УИК №3506"	"УИК №3507"	
2755	1283	3039	876	3057	821	811	1778	1891	751	1284	543	2784	374	413	1639	2506	836	1405	1252	1865	659	1024	2196	2430	2178	2385	1758	742	1156	1571	1139	1503	546	321	2998	436	1079	105	149	196	311	830	837	1152	1226	1475	2396	824	1982	
2700	1200	3000	750	2900	800	800	1700	1800	750	1200	500	2750	300	400	1500	2500	800	1300	1200	1800	600	1000	2150	2300	2100	2400	1700	700	1100	1500	1000	1400	500	300	2900	400	1000	100	150	190	300	700	700	1100	1100	1300	2300	800	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1587	913	2030	681	1783	673	614	1423	1270	494	1033	438	1620	288	335	1028	1281	690	1215	895	1635	516	593	1296	2031	1311	2147	998	573	802	1027	614	1218	466	267	1658	354	853	84	115	168	251	600	424	810	915	1281	1321	481	1826	
25	22	60	25	40	24	35	43	37	44	47	15	50	12	16	17	125	59	11	73	60	33	27	57	39	21	43	120	39	65	7	23	88	18	16	29	17	80	7	15	15	26	21	36	29	24	9	11	16	57	
1088	265	910	44	1077	103	151	234	493	212	120	47	1080	0	49	455	1094	51	74	232	105	51	380	797	230	768	210	582	88	233	466	363	94	16	17	1213	29	67	9	20	7	23	79	240	261	161	10	968	303	17	
25	22	60	25	40	24	35	43	37	44	47	15	50	12	16	16	125	59	11	73	60	33	27	57	39	21	43	120	39	65	7	23	88	18	16	29	17	80	7	15	15	26	21	36	29	24	9	11	16	57	
1587	913	2028	681	1783	673	614	1423	1270	494	1033	438	1620	288	335	1028	1281	690	1215	895	1635	516	593	1296	2031	1311	2147	998	573	802	1027	614	1218	466	267	1658	354	853	84	115	168	251	600	424	810	913	1281	1321	481	1826	
33	16	44	15	23	5	4	47	17	3	16	5	0	0	0	9	2	10	6	10	14	12	17	34	0	9	16	10	13	11	7	7	5	5	0	25	2	20	1	0	0	0	26	5	52	7	5	21	1	0	
1579	919	2044	691	1800	692	645	1419	1290	535	1064	448	1670	300	351	1035	1404	739	1220	958	1681	537	603	1319	2070	1323	2174	1108	599	856	1027	630	1301	479	283	1662	369	913	90	130	183	277	595	455	787	930	1285	1311	496	1883	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	5	11	2	8	6	3	15	6	4	10	2	14	10	1	3	8	15	7	11	107	3	2	6	9	10	11	1	2	9	7	4	73	13	8	11	10	9	3	0	5	8	3	4	6	2	16	2	2	77	
256	133	350	136	311	117	83	213	187	92	154	71	318	28	39	208	201	95	267	109	177	73	100	236	284	266	296	63	113	140	369	130	149	55	32	317	47	179	10	4	18	31	83	82	70	146	235	268	85	168	
116	55	90	29	138	71	63	178	80	26	47	30	77	22	10	38	61	88	56	65	138	43	39	90	86	54	84	12	37	44	25	46	77	32	27	81	36	64	7	10	20	28	41	34	49	38	96	65	27	76	
1111	679	1480	485	1268	466	448	925	958	395	834	325	1200	201	293	724	1090	443	827	733	995	392	440	921	1630	934	1728	1020	415	627	564	419	787	295	167	1165	247	646	64	116	119	190	430	313	628	698	815	876	368	1412	
31	19	42	13	27	17	5	25	25	5	8	12	28	13	1	34	19	30	34	17	63	8	11	31	23	19	19	7	15	18	21	15	38	21	7	39	5	7	0	0	4	1	20	7	18	20	36	48	6	47	
16	7	28	12	10	10	3	13	12	9	6	2	18	7	2	8	6	33	10	8	74	9	1	18	15	8	19	2	6	4	11	3	58	18	20	16	7	7	5	0	5	9	7	5	6	5	13	8	2	49	
19	8	25	4	20	3	25	18	7	2	2	3	6	10	4	8	8	30	5	9	83	9	8	5	18	12	4	2	6	8	13	3	62	14	10	17	7	1	1	0	7	3	7	7	6	12	40	21	2	28	
19	13	18	10	18	2	15	32	15	2	3	3	9	9	1	12	11	5	14	6	44	0	2	12	5	20	13	1	5	6	17	10	57	31	12	16	10	0	0	0	5	7	4	3	4	9	34	23	4	26	
