"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	
91	765	247	306	115	195	283	154	1379	1092	1056	270	95	887	
100	770	280	300	130	210	250	160	1300	1100	1050	250	100	900	
0	0	0	0	0	0	0	0	0	0	0	0	21	39	
69	520	167	223	81	147	178	91	790	635	620	181	29	705	
4	29	20	22	13	9	30	7	49	64	49	13	0	68	
27	221	93	55	36	54	42	62	461	401	381	56	50	88	
4	29	20	22	13	9	30	7	49	64	49	13	21	107	
69	520	167	223	81	147	178	91	789	635	620	180	29	705	
0	7	5	2	1	3	0	1	11	20	10	2	1	3	
73	542	182	243	93	153	208	97	827	679	659	191	49	809	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	2	3	1	0	1	1	3	4	7	0	0	4	
10	39	24	20	4	11	20	9	80	45	52	7	1	48	
9	68	22	26	16	28	23	16	103	98	102	19	3	58	
48	415	130	191	70	113	158	64	615	503	480	159	44	677	
0	6	1	2	2	1	2	2	10	15	7	4	0	8	
4	3	2	0	0	0	1	4	6	4	2	0	1	10	
1	2	1	1	0	0	3	0	7	4	5	2	0	1	
0	6	0	0	0	0	0	1	3	6	4	0	0	3	
