"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №521"	"УИК №523"	"УИК №524"	"УИК №526"	"УИК №528"	"УИК №529"	"УИК №530"	
1804	1612	232	239	242	368	420	175	198	217	654	519	187	487	454	232	209	273	
1840	1645	250	265	270	385	435	190	225	220	700	550	210	485	475	235	225	295	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1149	963	157	203	178	263	306	129	141	153	298	287	154	425	254	193	153	170	
113	130	52	26	42	77	81	29	25	24	183	174	10	44	158	23	26	48	
578	552	41	36	50	45	48	32	59	43	219	89	46	16	63	19	46	77	
113	130	52	26	42	77	81	29	25	24	183	174	10	44	158	23	26	48	
1149	963	157	203	178	263	306	129	141	153	298	287	154	425	254	193	153	170	
6	11	5	0	0	5	1	1	2	1	6	3	1	5	0	0	1	1	
1256	1082	204	229	220	335	386	157	164	176	475	458	163	464	412	216	178	217	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	8	1	1	1	1	2	0	0	0	7	3	1	2	0	1	1	0	
228	186	11	36	9	16	46	17	37	46	105	50	16	26	29	14	9	17	
87	71	22	17	6	6	28	9	6	11	19	37	24	28	10	22	5	21	
906	795	168	172	196	310	306	130	117	117	334	363	115	399	369	176	162	177	
15	6	1	1	3	1	2	1	3	0	2	0	2	3	0	2	0	1	
9	7	1	1	1	1	2	0	0	0	3	2	1	5	3	1	0	1	
3	6	0	1	1	0	0	0	1	0	3	0	0	1	1	0	1	0	
0	3	0	0	3	0	0	0	0	2	2	3	4	0	0	0	0	0	
