"УИК №487"	"УИК №488"	"УИК №489"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №507"	"УИК №508"	"УИК №509"	
117	95	534	129	496	176	214	356	63	78	83	193	53	105	1165	1477	1112	217	153	141	
100	80	500	120	480	150	200	350	60	70	70	190	40	80	1100	1400	1000	200	150	120	
0	21	38	23	21	0	14	0	9	9	0	7	0	0	0	26	17	22	0	0	
58	25	209	39	226	78	91	144	28	22	51	79	32	41	578	731	540	69	54	62	
7	3	42	1	20	6	4	15	3	3	3	12	1	5	22	23	43	6	7	9	
35	31	211	57	213	66	91	191	20	36	16	92	7	34	500	620	400	103	89	49	
7	24	80	24	41	6	18	15	12	12	3	19	1	5	22	49	60	28	7	9	
58	25	209	39	226	78	91	144	28	22	51	79	32	41	577	731	540	69	54	62	
0	0	0	0	1	0	0	0	0	0	1	1	0	0	3	2	2	0	0	0	
65	49	289	63	266	84	109	159	40	34	53	97	33	46	596	778	598	97	61	71	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	0	1	0	0	0	0	0	1	0	0	0	6	4	4	0	1	2	
2	0	8	0	13	0	4	6	3	0	4	8	1	1	53	55	58	5	3	0	
5	4	32	6	24	6	8	20	2	3	3	12	2	5	36	84	49	14	9	7	
56	44	239	57	220	78	96	127	33	31	45	76	29	40	494	624	470	77	47	62	
0	0	0	0	3	0	1	4	1	0	0	1	0	0	1	2	9	1	1	0	
1	0	7	0	0	0	0	1	1	0	0	0	1	0	3	3	1	0	0	0	
0	1	2	0	2	0	0	1	0	0	0	0	0	0	1	3	5	0	0	0	
0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	
