"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №2225"	
1570	1364	862	1336	1409	580	217	250	1423	1056	1336	1417	1579	1287	1617	1336	1430	1426	1459	549	1036	985	385	1066	1062	1054	405	477	
1550	1350	850	1300	1400	550	190	280	1400	1050	1350	1400	1550	1250	1600	1300	1400	1400	1450	500	950	1000	370	1100	1050	1050	450	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
759	909	520	907	889	334	127	181	857	609	758	728	966	840	1060	948	997	915	909	352	644	569	245	643	661	554	362	275	
78	39	43	41	38	22	26	53	37	55	73	50	44	59	51	44	59	54	72	36	70	31	27	52	70	105	19	19	
713	402	287	352	473	194	37	46	506	386	519	622	540	351	489	308	344	431	469	112	236	400	98	405	319	391	69	156	
78	39	43	41	38	22	26	53	37	55	73	50	44	59	51	44	59	54	72	36	70	31	27	52	70	105	19	19	
759	909	520	907	889	334	127	181	857	609	758	728	966	840	1060	948	997	915	909	352	644	569	245	643	661	554	362	275	
9	11	3	19	14	4	1	3	14	4	13	9	9	19	13	14	16	9	14	2	13	7	4	13	24	10	3	1	
828	937	560	929	913	352	152	231	880	660	818	769	1001	880	1098	978	1040	960	967	386	701	593	268	682	707	649	378	293	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	7	3	5	5	4	2	1	7	2	4	10	4	8	10	7	14	9	8	10	3	6	4	2	6	12	1	1	
97	133	61	134	125	33	2	30	98	88	93	74	82	123	122	108	89	85	103	27	80	70	17	56	79	100	50	38	
88	91	58	64	75	30	13	30	72	68	59	94	94	60	89	81	84	67	79	29	80	62	24	54	82	78	21	35	
612	668	422	686	679	276	126	158	684	480	634	565	779	657	826	745	812	758	730	299	510	442	210	547	517	443	291	205	
8	14	3	20	13	2	4	3	10	8	7	5	15	16	20	22	14	19	15	6	10	7	1	6	7	4	6	6	
4	10	2	3	3	3	4	4	2	8	9	6	8	4	12	6	11	4	10	4	6	2	8	7	3	6	5	1	
8	6	3	9	6	2	0	4	2	4	3	5	8	8	9	3	4	9	13	4	4	2	1	5	3	5	3	3	
5	8	8	8	7	2	1	1	5	2	9	10	11	4	10	6	12	9	9	7	8	2	3	5	10	1	1	4	
