"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №1913"	
2705	1853	1212	1856	2661	1062	1369	1071	638	1543	
2700	1800	1200	1800	2650	1050	1350	1000	600	1540	
0	0	0	0	0	0	0	0	0	0	
2572	1697	1102	1706	2511	946	1248	957	563	1478	
0	94	19	39	19	18	18	6	7	0	
128	9	79	55	120	86	84	37	30	62	
0	94	19	39	19	18	18	6	7	0	
2572	1697	1102	1706	2511	946	1248	957	563	1478	
0	0	1	0	26	0	3	0	0	0	
2572	1791	1120	1745	2504	964	1263	963	570	1478	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

1	1	0	0	3	2	1	2	1	1	
90	87	88	119	172	48	67	47	29	51	
3	1	1	2	4	8	7	0	1	1	
2472	1698	1027	1619	2321	889	1171	913	537	1421	
1	1	1	1	3	6	9	0	1	1	
1	1	0	1	0	6	3	1	0	1	
1	1	2	1	1	1	2	0	0	1	
3	1	1	2	0	4	3	0	1	1	
