"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	
31	1400	221	67	257	273	680	422	59	288	335	230	371	287	594	255	755	212	376	415	306	111	368	76	596	158	216	123	551	395	1170	1144	1095	1003	654	806	1422	204	352	439	
32	1250	200	62	230	250	520	440	60	300	380	190	300	271	500	200	560	180	320	330	246	105	300	75	518	126	217	120	550	320	787	834	757	718	520	586	1500	190	250	485	
0	868	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	66	28	101	0	0	0	49	0	0	0	300	0	0	138	0	0	63	0	456	0	0	224	
25	325	153	54	179	203	431	296	42	147	267	145	256	162	382	184	461	142	166	274	129	92	225	67	366	115	128	92	166	265	655	535	603	538	338	415	580	140	202	131	
0	35	17	1	14	12	32	36	9	29	23	10	22	21	51	13	65	13	27	11	15	7	70	0	23	3	7	0	23	48	56	111	54	69	30	40	23	12	6	37	
7	22	30	7	37	35	57	108	9	124	90	35	22	7	67	3	34	25	61	17	1	6	5	8	80	8	82	28	61	7	76	50	100	111	89	131	441	38	42	93	
0	903	17	1	14	12	32	36	9	29	23	10	22	102	51	13	65	13	93	39	116	7	70	0	72	3	7	0	323	48	56	249	54	69	93	40	479	12	6	260	
25	325	153	54	179	203	431	296	42	147	267	145	256	162	382	184	461	142	166	274	129	92	225	67	366	115	128	92	166	265	655	535	603	538	338	415	580	140	202	131	
2	23	5	0	1	3	0	4	0	4	1	0	0	4	7	2	13	0	4	4	0	0	3	0	1	1	0	0	13	4	5	8	48	5	3	7	15	5	2	11	
23	1205	165	55	192	212	463	328	51	172	289	155	278	260	426	195	513	155	255	309	245	99	292	67	437	117	135	92	476	309	706	776	609	602	428	448	1044	147	206	380	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	9	0	0	2	2	1	0	0	1	1	1	0	1	4	0	5	0	1	0	0	1	1	0	2	0	1	1	4	4	2	3	2	2	1	3	10	1	2	0	
1	167	4	4	5	32	104	140	2	46	79	25	54	31	93	56	96	33	45	92	14	7	39	2	95	59	38	17	109	33	155	165	130	115	92	91	227	19	29	65	
1	175	12	1	19	13	13	4	1	2	4	1	1	13	12	8	28	2	16	10	42	9	22	6	17	2	2	1	51	26	37	47	33	29	23	18	99	7	10	48	
21	813	143	48	164	160	333	180	48	120	202	120	213	207	316	127	366	115	185	202	186	82	220	59	311	54	90	72	289	243	504	544	437	446	306	328	690	112	160	264	
0	19	4	1	0	3	8	2	0	1	1	4	2	3	0	2	7	1	4	1	2	0	7	0	3	1	3	1	11	0	3	6	1	5	1	4	5	1	1	1	
0	7	1	1	0	1	2	1	0	2	1	0	2	3	0	1	5	1	1	3	1	0	1	0	4	1	0	0	5	2	2	2	2	2	4	2	4	1	0	0	
0	5	0	0	2	0	1	0	0	0	0	4	5	1	0	0	5	2	3	1	0	0	1	0	2	0	0	0	5	1	0	3	2	0	1	1	4	4	4	0	
0	10	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	3	0	1	0	2	0	3	6	2	3	0	1	5	2	0	2	
