"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1815"	"УИК №1816"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	
1310	690	1710	1674	331	324	2040	1227	1035	1467	130	143	123	377	180	312	335	854	
1340	685	1730	1710	345	335	2060	1230	865	1820	105	135	125	400	170	305	315	850	
0	0	0	0	0	0	0	5	0	11	0	13	15	17	0	0	0	0	
829	432	1191	1003	188	205	1279	715	665	817	81	75	46	250	144	233	224	466	
18	15	27	73	7	3	62	45	21	48	0	5	2	36	4	10	29	37	
493	238	512	634	150	127	719	465	179	944	24	42	62	97	22	62	62	347	
18	15	27	73	7	3	62	50	21	59	0	18	17	53	4	10	29	37	
829	432	1191	1002	188	205	1279	715	665	817	81	75	46	250	144	233	224	466	
9	1	25	22	2	2	13	12	12	9	0	0	0	4	3	1	2	6	
838	446	1193	1053	193	206	1328	753	674	867	81	93	63	299	145	242	251	497	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	12	8	2	0	7	7	2	2	2	0	0	1	0	3	0	6	
155	76	213	203	23	26	212	99	150	150	9	6	7	14	3	24	8	61	
68	35	75	82	30	12	110	56	71	86	12	13	1	30	9	17	9	60	
589	327	860	736	133	165	969	576	437	610	58	70	55	251	131	193	233	357	
9	1	13	6	1	0	12	6	5	6	0	1	0	1	0	2	1	3	
4	1	6	9	0	0	9	5	3	6	0	2	0	1	0	3	0	6	
3	3	3	4	4	2	6	3	1	2	0	0	0	0	2	0	0	3	
6	2	11	5	0	1	3	1	5	5	0	1	0	1	0	0	0	1	
