"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	
948	1130	766	1165	438	1191	1165	422	380	294	343	389	368	402	187	391	361	364	518	123	395	136	279	120	376	261	93	158	189	222	192	725	781	334	287	296	252	576	486	185	81	283	213	147	708	333	361	129	390	1016	175	70	98	124	103	
982	1193	832	1186	442	1242	1239	446	396	297	353	397	391	421	192	404	390	373	531	126	401	142	283	123	384	262	97	159	211	238	197	743	801	338	293	307	258	604	501	186	88	296	244	153	766	366	374	132	391	1048	183	71	99	128	108	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
673	1066	636	999	387	1084	1001	339	336	262	302	333	316	373	173	347	335	315	445	105	334	120	259	115	353	239	71	140	159	177	149	624	689	276	251	262	209	503	389	155	57	261	185	128	506	231	329	121	294	866	159	65	91	113	95	
40	22	27	52	29	39	13	8	25	10	17	32	32	16	7	22	15	20	33	8	46	16	13	2	12	11	16	14	18	30	26	31	77	25	26	21	26	32	36	29	19	9	10	6	82	71	16	5	46	5	7	0	5	7	5	
269	105	169	135	26	119	225	99	35	25	34	32	43	32	12	35	40	38	53	13	21	6	11	6	19	12	10	5	34	31	22	88	35	37	16	24	23	69	76	2	12	26	49	19	178	64	29	6	51	177	17	6	3	8	8	
40	22	27	52	29	39	13	8	25	10	17	32	32	16	7	22	15	20	33	8	46	16	13	2	12	11	16	14	18	30	26	31	77	25	26	21	26	32	36	29	19	9	10	6	82	71	16	5	46	5	7	0	5	7	5	
673	1066	636	999	387	1084	1001	339	336	262	302	333	316	373	173	347	335	315	445	105	334	120	259	115	353	239	71	140	159	177	149	624	689	276	251	262	209	503	389	155	57	261	185	128	506	231	329	121	294	866	159	65	91	113	95	
7	3	0	0	0	6	13	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
706	1085	663	1051	416	1117	1001	347	358	272	319	365	348	389	180	369	350	335	478	113	379	136	272	117	365	250	87	154	177	207	173	655	766	300	277	283	235	535	423	184	76	270	195	134	588	302	345	126	340	869	166	65	96	120	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	13	2	0	1	5	3	0	0	0	0	2	0	0	2	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	3	0	0	0	1	0	0	1	0	0	4	0	1	0	0	0	
111	90	17	107	40	116	145	42	17	5	13	20	19	8	7	23	7	14	14	2	21	4	10	2	7	12	5	4	16	5	7	10	12	18	5	6	3	33	113	10	3	9	10	3	56	16	8	0	21	156	10	0	4	4	4	
26	9	30	18	10	30	43	11	3	3	1	8	6	3	4	5	3	3	5	1	6	5	8	2	3	3	1	1	1	5	5	5	8	5	5	8	4	7	13	3	1	5	3	8	4	3	2	1	5	40	3	0	0	2	1	
549	965	563	917	360	947	781	285	331	264	303	331	316	377	169	333	337	315	451	107	351	124	253	113	354	235	80	146	160	196	158	630	730	270	265	269	225	487	290	166	69	256	179	120	527	281	332	124	309	646	150	64	92	111	93	
6	5	13	2	0	7	8	1	5	0	0	1	3	1	0	2	0	0	2	0	0	3	0	0	0	0	1	0	0	1	2	4	5	4	1	0	1	3	4	0	3	0	1	1	1	1	2	1	4	9	2	0	0	0	1	
7	5	7	3	3	9	12	4	1	0	0	3	1	0	0	2	1	1	3	0	0	0	0	0	0	0	0	2	0	0	0	3	4	2	1	0	0	3	1	2	0	0	1	0	0	0	0	0	1	6	1	0	0	0	0	
0	2	9	1	3	4	5	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	
4	4	11	1	0	3	2	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	1	
