"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	
1867	1430	1361	1176	914	1476	1600	2266	2363	1877	1717	596	
1800	1500	1400	1200	900	1400	1700	2400	2400	2000	1800	600	
0	0	0	0	0	0	0	0	0	0	0	0	
1227	898	860	763	560	764	952	1287	1304	1311	992	337	
90	32	64	36	59	240	113	199	88	140	82	36	
483	570	476	401	281	396	635	914	1008	549	726	227	
90	32	64	36	59	240	113	199	88	140	82	36	
1227	898	860	763	560	764	952	1287	1304	1311	992	337	
13	13	12	6	11	14	11	15	18	62	15	7	
1304	917	912	793	608	990	1054	1471	1374	1389	1059	366	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

10	5	6	6	3	12	14	5	9	20	7	3	
280	211	194	170	133	190	287	312	307	286	287	83	
110	95	74	66	53	135	84	150	165	154	108	47	
864	584	603	532	397	616	646	963	858	796	637	231	
14	9	15	7	10	7	9	15	18	65	4	1	
9	5	11	4	4	14	6	11	4	43	8	0	
5	3	4	2	3	10	2	8	7	16	2	0	
12	5	5	6	5	6	6	7	6	9	6	1	
