"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	
1806	2241	2273	2051	1813	1830	2362	2686	2572	2479	2670	2623	2838	2796	
1400	1800	1800	1550	1500	1200	1900	2000	2050	2000	2200	2100	2300	2200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1009	1355	1201	1124	981	984	1285	1665	1476	1494	1529	1520	1568	1672	
44	61	78	76	52	30	66	57	58	42	52	55	74	50	
347	384	521	350	467	186	549	278	516	464	619	525	658	478	
44	61	78	76	52	30	56	57	58	42	52	55	74	50	
1009	1354	1201	1124	979	984	1285	1663	1476	1492	1527	1518	1568	1672	
14	11	16	12	13	9	10	30	17	19	22	21	9	16	
1039	1404	1263	1188	1018	1005	1331	1690	1517	1515	1557	1552	1633	1706	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	15	19	11	10	9	11	18	17	9	13	10	12	12	
114	152	111	129	124	112	157	181	153	142	176	176	202	178	
53	74	76	90	55	63	83	91	86	89	84	90	83	84	
779	1046	984	880	771	764	992	1274	1166	1157	1168	1155	1239	1305	
35	44	30	34	27	27	33	49	39	51	44	51	37	58	
5	9	2	12	7	7	11	13	13	9	13	15	12	12	
21	22	16	15	10	14	22	24	11	21	22	21	19	15	
19	42	25	17	14	9	22	40	32	37	37	34	29	42	
