"УИК №546"	"УИК №547"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	
432	291	1222	691	1156	1974	1202	2868	544	360	431	957	852	639	369	389	2854	873	408	486	1060	1539	797	1541	2084	1146	994	2341	2484	1965	2081	440	224	538	887	411	956	755	301	549	1227	566	1340	597	547	1049	534	531	612	2414	1877	2547	
430	280	1200	590	1200	1900	1200	2800	600	370	420	990	880	620	400	380	2600	880	410	510	1000	1500	790	1500	2100	1100	980	2300	2500	1900	2200	450	220	550	820	420	950	800	300	550	1200	550	1300	600	550	1000	530	530	600	2400	1800	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
280	178	749	422	813	1476	680	1905	339	241	258	676	515	266	304	347	1842	536	325	330	591	931	490	944	1396	660	624	1516	1599	1226	1368	140	83	325	360	326	675	428	180	327	866	337	841	321	401	784	416	355	310	1266	1039	1289	
58	51	122	106	191	243	198	81	161	53	93	64	230	177	54	24	362	183	59	45	123	94	132	225	413	285	244	306	126	192	230	218	102	103	423	49	183	194	40	93	123	80	67	44	84	61	42	32	62	241	139	172	
92	51	329	62	196	181	322	814	100	76	69	250	135	177	42	9	396	161	26	135	286	475	168	331	291	155	112	478	775	482	602	92	35	122	37	45	92	178	80	130	211	133	392	235	65	155	72	143	228	893	622	1039	
58	51	122	106	191	243	198	81	161	53	93	64	230	177	54	24	362	183	59	45	123	94	132	225	413	285	244	306	126	192	230	218	102	103	423	49	183	194	40	93	123	80	67	44	84	61	42	32	62	241	139	172	
280	178	749	422	813	1476	680	1905	339	241	258	676	515	266	304	347	1842	536	325	330	591	931	490	944	1396	659	624	1516	1598	1224	1368	140	83	325	360	326	675	428	180	327	866	337	841	321	401	784	416	355	310	1266	1039	1288	
6	3	8	8	5	20	10	27	3	1	3	5	4	2	0	3	30	0	1	5	5	9	10	14	0	7	10	25	30	15	2	8	0	0	5	0	8	4	0	17	9	2	11	6	2	0	3	6	3	16	15	23	
332	226	863	520	999	1699	868	1959	497	293	348	735	741	441	358	368	2174	719	383	370	709	1016	612	1155	1809	937	858	1797	1694	1401	1596	350	185	428	778	375	850	618	220	403	980	415	897	359	483	845	455	381	369	1491	1163	1437	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	2	2	10	9	6	18	3	0	2	7	6	2	1	5	11	3	3	1	7	5	5	10	15	10	16	13	18	17	7	1	0	5	3	0	2	3	2	3	5	3	5	2	2	6	1	0	3	14	8	8	
15	13	97	56	86	157	114	319	32	18	29	70	78	64	18	18	304	70	31	47	80	99	53	125	123	73	109	186	212	207	221	42	9	68	47	56	99	79	12	24	105	49	98	23	29	104	72	70	34	153	169	216	
25	15	49	29	96	102	65	127	24	26	20	41	40	32	18	19	153	80	30	31	24	33	44	73	73	33	56	104	125	70	67	22	13	21	38	20	33	18	22	50	45	35	82	35	21	48	45	32	31	120	86	100	
280	192	682	422	773	1357	633	1402	428	226	285	595	601	330	313	320	1641	544	309	284	562	846	491	904	1552	791	637	1425	1275	1073	1280	276	158	329	675	297	688	504	176	323	792	316	687	287	423	666	334	270	282	1165	858	1058	
3	4	13	5	20	40	19	37	4	6	5	7	6	3	3	1	29	10	2	1	13	14	6	17	19	8	21	21	17	18	5	1	3	1	8	2	7	4	2	0	7	5	8	6	4	11	1	4	7	17	18	23	
2	1	9	2	4	14	10	16	4	3	6	7	4	6	2	4	14	5	2	2	2	7	3	10	11	8	7	21	19	6	6	5	2	1	5	0	16	3	4	3	7	3	5	4	2	5	0	3	4	5	7	11	
3	0	5	2	9	12	15	22	2	9	0	3	3	2	1	1	14	5	3	4	8	9	6	11	11	7	6	13	12	5	5	3	0	2	2	0	4	2	2	0	17	2	11	1	2	3	0	1	8	8	9	14	
0	0	6	2	1	8	6	18	0	5	1	5	3	2	2	0	8	2	3	0	13	3	4	5	5	7	6	14	16	5	5	0	0	1	0	0	1	5	0	0	2	2	1	1	0	2	2	1	0	9	8	7	
