"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	
1143	1206	473	535	717	683	288	1227	1255	1195	1191	1238	1234	1001	300	1320	1242	654	1207	427	94	477	316	902	866	1197	1087	182	1296	880	506	121	110	298	369	88	131	637	332	171	111	180	626	166	195	803	1019	267	73	236	
1170	1200	500	550	700	700	300	1250	1350	1260	1270	1270	1230	1000	280	1300	1300	670	1250	430	100	500	300	900	900	1200	1120	180	1350	850	520	120	110	300	370	90	120	640	330	170	100	180	650	180	200	800	1050	270	80	240	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1093	1118	414	489	674	636	274	945	1121	1011	970	992	977	814	265	1098	981	592	1157	389	84	418	278	826	748	665	944	134	898	553	293	97	70	251	322	66	73	571	290	163	87	162	561	155	180	633	913	232	60	207	
30	73	54	25	17	33	12	43	39	65	87	157	117	102	13	81	35	27	41	25	8	44	20	61	111	94	47	40	263	77	82	19	33	34	34	17	45	40	24	4	10	13	42	4	10	74	90	11	12	17	
47	9	32	36	9	31	14	262	190	184	213	121	136	84	2	121	284	51	52	16	8	38	2	13	41	441	129	6	189	220	145	4	7	15	14	7	2	29	16	3	3	5	47	21	10	93	47	27	8	16	
30	73	54	25	17	33	12	43	39	65	87	157	117	102	13	81	35	27	41	25	8	44	20	61	111	94	47	40	263	77	82	19	33	34	34	17	45	40	24	4	10	13	42	4	10	74	90	11	12	17	
1093	1118	414	489	674	635	274	945	1119	1010	970	992	975	814	265	1098	981	592	1157	389	84	418	277	826	747	665	944	134	898	553	293	97	70	249	322	66	73	571	290	163	87	162	561	155	180	633	913	232	60	207	
2	2	3	5	2	6	1	2	6	7	3	18	3	4	3	7	7	1	9	1	0	1	0	3	2	8	3	1	3	10	2	0	23	2	2	0	0	4	1	0	1	0	2	2	1	5	2	1	0	1	
1121	1189	465	509	689	662	285	986	1152	1068	1054	1131	1089	912	275	1172	1009	618	1189	413	92	461	297	884	856	751	988	173	1158	620	373	116	80	281	354	83	118	607	313	167	96	175	601	157	189	702	1001	242	72	223	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	0	1	2	2	1	1	1	3	1	0	1	2	0	2	0	0	1	1	1	0	3	1	0	3	5	8	0	0	0	0	0	1	0	0	1	0	0	2	0	1	2	3	1	0	1	
38	49	12	5	12	8	5	24	34	29	35	9	27	3	7	22	14	13	32	9	1	7	3	19	15	48	21	5	37	106	47	8	10	4	9	3	2	10	11	3	1	3	12	5	2	11	15	14	2	4	
15	25	11	14	9	7	8	36	28	27	27	16	32	46	5	34	16	26	9	12	4	15	7	7	7	23	24	6	26	48	30	4	12	6	7	1	4	14	8	2	2	4	9	4	4	13	17	31	1	7	
1061	1108	438	487	664	642	270	916	1082	1003	986	1096	1020	857	262	1107	955	576	1137	391	87	435	282	854	828	659	932	161	1080	445	282	103	58	267	335	79	110	581	294	159	92	167	574	147	179	672	954	194	68	210	
2	2	1	2	2	3	1	3	3	4	1	4	3	2	1	3	10	2	4	1	0	0	2	1	4	5	7	1	6	5	1	0	0	0	2	0	1	1	0	1	1	1	2	1	1	1	8	1	0	1	
1	1	2	0	2	1	0	3	1	2	2	1	1	1	0	2	6	1	2	0	0	1	1	2	1	6	2	0	3	2	2	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	2	1	0	0	
0	0	0	0	0	1	0	1	1	1	1	2	2	1	0	1	2	0	1	0	0	0	0	0	0	5	1	0	1	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
3	3	1	1	0	0	0	1	1	1	1	2	1	1	0	2	4	0	2	0	0	2	1	0	1	2	0	0	2	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	
