"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	
407	870	1209	1701	668	200	1065	771	891	829	435	266	153	467	336	257	275	90	134	446	
400	850	1200	1700	600	200	1000	800	850	800	400	280	150	470	350	250	250	70	120	400	
0	0	0	0	0	0	0	0	0	0	58	48	0	0	30	0	10	0	0	14	
245	404	644	914	311	106	521	444	428	407	222	124	69	303	205	136	184	50	94	264	
13	106	78	72	47	8	23	15	73	56	30	16	61	11	10	16	21	10	15	23	
142	340	478	714	242	86	456	341	349	337	90	92	20	156	105	98	35	10	11	99	
13	106	78	72	47	8	23	15	73	56	88	64	61	11	40	16	31	10	15	37	
245	404	644	914	311	106	521	444	428	407	222	124	69	303	205	136	184	50	94	264	
4	8	3	16	1	2	10	9	3	4	2	1	0	5	2	4	3	0	0	5	
254	502	719	970	357	112	534	450	498	459	308	187	130	309	243	148	212	60	109	296	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	3	10	2	1	3	1	3	1	1	0	0	2	2	4	3	1	1	2	
25	46	66	61	30	8	25	45	37	34	25	8	3	28	18	9	12	4	4	19	
19	42	33	78	31	8	48	33	35	28	15	18	12	19	20	21	24	3	26	23	
208	405	601	802	288	91	449	365	415	389	263	160	113	255	201	111	170	52	74	240	
1	4	4	7	2	3	4	0	2	1	3	0	0	2	0	0	1	0	1	3	
0	2	3	4	3	1	0	4	2	2	1	0	0	3	1	1	0	0	1	4	
0	3	7	3	1	0	4	1	2	3	0	0	2	0	1	2	2	0	1	3	
1	0	2	5	0	0	1	1	2	1	0	1	0	0	0	0	0	0	1	2	
