"УИК №3401"	"УИК №3402"	"УИК №3403"	"УИК №3404"	"УИК №3405"	"УИК №3406"	"УИК №3407"	"УИК №3408"	"УИК №3409"	"УИК №3410"	"УИК №3411"	"УИК №3412"	"УИК №3413"	"УИК №3414"	"УИК №3415"	"УИК №3416"	"УИК №3499"	
1745	2169	1549	1601	1590	1305	1592	2253	1885	1560	1151	2317	1596	1377	1228	1367	157	
1600	2150	1500	1600	1600	1300	1600	2250	1900	1500	1093	2300	1600	1350	1200	1350	160	
0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
910	1305	1149	1423	1498	943	1265	1869	943	1351	688	1621	1425	1140	1060	1316	157	
78	378	247	162	76	131	312	204	56	139	51	219	92	111	116	32	0	
612	337	104	15	26	226	23	177	901	10	354	460	83	99	24	2	3	
78	508	247	162	76	131	312	204	56	139	51	219	92	111	116	32	0	
910	1305	1149	1423	1498	943	1265	1869	943	1349	688	1621	1425	1140	1060	1316	157	
19	9	5	19	15	12	11	11	17	0	0	20	0	12	0	0	2	
969	1804	1391	1566	1559	1062	1566	2062	982	1488	739	1820	1517	1239	1176	1348	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	10	5	2	3	6	5	3	6	1	3	7	11	1	1	9	0	
140	134	95	87	57	121	79	137	144	134	66	180	110	113	103	94	8	
86	91	82	62	45	60	50	122	68	20	60	120	74	85	37	71	10	
697	1511	1148	1375	1417	834	1407	1766	726	1309	581	1447	1288	1018	1030	1138	132	
16	25	19	12	10	11	6	5	7	6	9	17	11	4	1	7	4	
7	10	16	6	9	5	6	3	6	3	7	12	10	4	1	6	0	
14	15	16	17	12	15	8	21	15	11	9	28	12	12	2	12	1	
5	8	10	5	6	10	5	5	10	4	4	9	1	2	1	11	0	
