"УИК №2676"	"УИК №2677"	"УИК №2678"	"УИК №2679"	"УИК №2680"	"УИК №2681"	"УИК №2682"	"УИК №2683"	
2089	1896	1644	1712	2118	2099	2129	2328	
1700	1550	1350	1400	1750	1750	1750	1900	
0	0	0	0	0	0	0	0	
1198	1459	1277	1203	1573	1607	1645	1583	
43	37	38	50	55	50	60	59	
459	54	35	147	122	93	45	258	
43	37	38	50	55	50	60	59	
1198	1459	1277	1203	1573	1607	1645	1583	
7	13	12	12	14	13	17	30	
1234	1483	1303	1241	1614	1644	1688	1612	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

7	3	4	12	3	6	14	12	
153	121	97	118	125	177	210	140	
87	90	74	94	87	93	125	148	
953	1233	1107	987	1368	1337	1241	1176	
16	7	6	12	12	15	23	35	
4	9	6	8	6	5	17	33	
5	7	3	4	5	7	23	56	
9	13	6	6	8	4	35	12	
