"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	
318	344	822	740	242	319	289	98	89	193	62	
320	340	800	700	240	330	290	90	70	190	50	
0	0	0	0	0	0	0	0	0	0	0	
151	178	395	367	102	158	138	51	48	81	16	
33	28	94	40	63	34	24	17	10	31	29	
136	134	311	293	75	138	128	22	12	78	5	
33	28	94	40	63	34	24	17	10	31	29	
151	178	395	367	102	158	138	51	48	81	16	
6	3	13	12	1	7	8	0	2	3	1	
178	203	476	395	164	185	154	68	56	109	44	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

1	2	5	2	1	1	2	0	1	1	1	
10	22	73	43	20	23	21	4	16	5	1	
21	26	54	41	21	23	14	7	2	8	0	
138	149	332	295	117	128	111	55	35	89	41	
3	0	9	7	3	8	4	2	2	2	0	
3	3	0	3	2	0	0	0	0	1	0	
2	0	1	2	0	1	1	0	0	2	1	
0	1	2	2	0	1	1	0	0	1	0	
