"УИК №150"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №2624"	
124	444	312	1627	1631	1531	1801	2286	1261	1437	1081	1878	1091	737	1222	1387	1831	1305	1758	1381	1836	1956	1291	1310	2263	2456	2248	1950	2281	2069	1936	1425	1740	2115	1925	2487	2271	2480	1864	2158	2067	2131	1606	1628	1931	1974	2130	2379	1897	2015	1899	2245	2602	2437	2392	2325	2150	2162	2404	2195	2532	2508	2721	2060	2348	2394	1830	1713	2392	2165	2392	2098	1916	2473	2338	2439	1983	2149	2064	2465	2268	1740	2345	1994	2233	2123	2588	2160	2105	1585	2552	2025	1367	2121	1710	344	2814	1763	2102	2180	166	2485	2383	
150	450	350	1650	1600	1500	1800	2200	1250	1400	1050	1900	1050	700	1250	1350	1800	1300	1750	1350	1800	2000	1250	1300	2250	2450	2250	1900	2250	2000	1800	1400	1650	2050	1900	2500	2300	2450	1800	2100	2100	2100	1550	1600	1950	2000	2050	2350	1850	2000	1800	2000	2550	2350	2400	2300	2150	2100	2450	2150	2400	2500	2700	2100	2350	2350	1750	1700	2300	2200	2400	2100	1900	2500	2300	2400	1900	2200	2000	2400	2300	1700	2350	2000	1900	2150	2600	1800	2050	1550	2500	1850	1300	2000	1650	350	2700	1750	2000	2150	300	2450	2250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33	331	265	762	872	860	976	1394	674	819	556	1146	667	446	682	770	907	835	1012	786	1069	1035	803	862	1434	1558	1371	1252	1333	1341	1133	819	1000	1173	1048	1288	1331	1515	1051	1324	1256	1305	931	1010	1128	1255	1303	1506	1159	1167	1177	1391	1599	1436	1332	1302	1309	1302	1265	1274	1578	1318	1649	1380	1402	1463	1214	975	1634	1373	1468	1284	1010	1400	1467	1525	1248	1120	1277	1564	1346	1092	1379	1194	1408	1109	1424	1466	1194	765	1455	1122	841	1316	1045	180	1648	1069	1350	1400	139	1494	1615	
80	113	47	8	10	9	9	19	13	27	16	39	21	16	16	11	19	24	22	10	20	8	13	28	10	15	36	34	73	47	26	9	23	16	25	20	40	26	26	21	29	35	36	27	32	31	44	16	28	24	23	27	26	35	29	29	31	27	25	29	14	28	31	25	52	38	6	15	25	23	15	19	21	18	36	16	30	30	30	31	15	22	48	27	9	14	61	33	49	12	22	22	13	21	6	99	37	37	4	20	18	19	8	
37	6	38	880	718	631	815	787	563	554	478	715	362	238	552	569	874	441	716	554	711	957	434	410	806	877	843	614	844	612	641	572	627	861	827	1192	929	909	723	755	815	760	583	563	790	714	703	828	663	809	600	582	925	879	1039	969	810	771	1160	847	808	1154	1020	695	896	849	530	710	641	804	917	797	869	1082	797	859	622	1050	693	805	939	586	923	779	483	1027	1115	301	807	773	1023	706	446	663	599	71	1015	644	646	730	143	937	627	
80	113	47	8	10	9	9	19	13	27	16	39	21	16	16	11	19	23	22	10	20	8	13	28	11	15	36	34	70	47	26	9	23	15	25	20	40	26	26	21	29	35	36	27	32	31	44	16	28	24	23	27	26	35	29	29	31	27	25	29	14	28	31	25	52	38	6	15	25	23	15	19	21	18	36	16	30	30	30	31	15	22	48	27	9	14	61	33	49	12	22	22	13	21	6	99	37	37	4	20	18	19	8	
33	331	265	761	869	860	976	1391	674	819	556	1146	666	446	682	770	907	834	1010	786	1069	1027	803	862	1433	1556	1371	1251	1333	1341	1133	819	999	1173	1046	1288	1331	1515	1051	1324	1256	1305	931	1010	1126	1254	1303	1506	1159	1167	1172	1389	1596	1436	1331	1302	1308	1302	1265	1273	1578	1314	1647	1380	1401	1458	1213	973	1634	1373	1467	1284	1010	1400	1467	1519	1248	1120	1277	1564	1344	1092	1379	1194	1408	1109	1422	1466	1194	764	1455	1122	841	1316	1045	180	1648	1069	1350	1400	139	1492	1613	
1	6	5	9	15	13	19	19	9	8	3	6	4	9	7	6	13	13	12	11	21	11	17	8	28	20	17	14	15	16	11	7	11	11	9	9	16	23	13	21	23	18	10	9	15	21	15	21	13	8	17	20	16	21	19	23	14	14	15	14	30	9	20	24	14	15	18	13	19	19	18	10	9	20	17	20	21	25	10	20	19	11	24	10	22	17	18	26	13	18	19	14	13	16	17	11	23	16	20	15	1	16	20	
112	438	307	760	864	856	966	1391	678	838	569	1179	683	453	691	775	913	844	1020	785	1068	1024	799	882	1416	1551	1390	1271	1388	1372	1148	821	1011	1177	1062	1299	1355	1518	1064	1324	1262	1322	957	1028	1143	1264	1332	1501	1174	1183	1178	1396	1606	1450	1341	1308	1325	1315	1275	1288	1562	1333	1658	1381	1439	1481	1201	975	1640	1377	1464	1293	1022	1398	1486	1515	1257	1125	1297	1575	1340	1103	1403	1211	1395	1106	1465	1473	1230	758	1458	1130	841	1321	1034	268	1662	1090	1334	1405	156	1495	1601	
