"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	
1332	1645	307	508	179	93	783	157	182	88	199	676	112	69	135	119	720	75	247	667	352	406	
1330	1620	300	500	170	90	800	150	190	85	195	670	110	65	150	130	780	75	250	670	350	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
838	1013	181	346	122	67	618	114	122	68	139	465	83	57	87	100	462	62	182	436	218	245	
75	108	12	36	22	0	65	14	16	9	33	23	4	0	11	1	65	4	22	54	37	30	
417	499	107	118	26	23	117	22	52	8	23	182	23	8	52	29	253	9	46	180	95	130	
75	108	12	36	22	0	65	14	16	9	33	23	4	0	11	1	65	4	22	54	37	30	
838	1013	181	346	122	67	618	114	122	68	139	465	83	57	87	100	462	62	182	436	218	245	
22	19	2	4	1	0	5	3	2	1	3	2	0	0	1	2	10	0	4	4	3	6	
891	1102	191	378	143	67	678	125	136	76	169	486	87	57	97	99	517	66	200	486	252	269	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	2	1	2	0	3	1	2	0	1	1	0	0	0	0	6	0	4	4	2	1	
160	211	21	52	14	2	74	3	8	1	17	78	6	4	12	4	81	2	12	58	24	40	
84	88	25	34	22	8	38	20	8	6	31	45	16	6	6	8	82	10	18	56	23	31	
627	773	139	281	104	56	552	99	114	69	120	352	59	46	79	85	337	54	156	361	199	190	
4	6	0	3	0	0	3	2	1	0	0	2	1	1	0	0	2	0	4	3	1	2	
2	9	1	3	0	0	3	0	2	0	0	3	4	0	0	0	5	0	5	2	1	2	
2	3	2	2	1	1	4	0	1	0	0	2	1	0	0	2	2	0	0	2	1	1	
6	7	1	2	0	0	1	0	0	0	0	3	0	0	0	0	2	0	1	0	1	2	
