"УИК №3227"	"УИК №3228"	"УИК №3229"	"УИК №3230"	"УИК №3231"	"УИК №3232"	"УИК №3233"	"УИК №3234"	"УИК №3235"	"УИК №3236"	"УИК №3237"	"УИК №3238"	"УИК №3239"	
273	284	1637	1545	569	1717	1606	1560	2145	1665	1586	1920	1515	
223	277	1400	1300	611	1400	1400	1300	1700	1300	1300	1400	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	
190	114	953	889	401	1016	954	884	1293	955	863	1114	882	
7	12	14	12	12	20	27	19	25	19	21	24	37	
26	151	433	399	198	364	419	397	382	326	416	262	381	
7	12	14	12	12	20	27	19	25	19	21	24	37	
190	114	953	889	401	1013	954	884	1289	954	860	1114	881	
0	1	18	16	4	13	15	14	17	23	15	24	13	
197	125	949	885	409	1020	966	889	1297	950	866	1114	905	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	10	8	1	9	5	13	12	7	7	13	14	
30	15	154	152	44	186	159	143	224	153	139	167	163	
3	5	52	42	25	49	54	33	78	33	55	36	22	
151	97	665	613	316	684	689	607	874	674	591	765	609	
8	4	30	28	12	39	25	31	40	34	29	45	37	
1	0	6	5	7	7	8	7	10	2	5	5	7	
2	1	13	13	2	13	11	21	20	13	19	27	20	
1	1	19	24	2	33	15	34	39	34	21	56	33	
