"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	
535	1066	928	925	1807	835	552	575	83	930	650	834	567	585	1481	759	466	1195	457	
559	1102	951	1036	1828	866	558	612	84	923	644	847	584	604	1517	772	482	1220	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
312	633	628	587	1312	623	369	432	41	558	489	568	393	359	1107	518	269	722	332	
124	126	70	197	137	102	110	65	38	236	100	160	96	122	253	119	123	266	66	
123	343	253	252	379	141	79	115	5	129	55	119	95	123	157	135	90	232	52	
124	126	70	197	137	102	110	65	38	236	100	160	96	122	253	119	123	266	66	
312	633	628	587	1312	623	369	432	41	558	489	568	393	359	1107	518	269	722	332	
1	12	3	13	6	4	0	1	0	8	0	0	2	0	4	3	5	7	1	
435	747	695	771	1443	721	479	496	79	786	589	728	487	481	1356	634	387	981	397	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	6	7	8	8	4	2	2	1	1	3	5	4	5	7	13	2	8	0	
43	86	92	80	149	75	38	47	7	38	30	54	54	59	148	51	25	70	23	
21	57	41	49	79	38	25	43	2	32	37	19	36	18	94	28	23	97	35	
361	585	531	615	1181	592	412	386	67	705	516	646	388	385	1078	521	325	789	330	
2	6	6	6	15	2	0	4	1	5	0	1	2	3	9	11	6	4	2	
3	2	9	7	1	8	0	7	0	5	2	2	1	6	10	2	3	6	6	
3	3	4	3	4	2	1	3	1	0	1	1	2	5	8	2	1	3	0	
1	2	5	3	6	0	1	4	0	0	0	0	0	0	2	6	2	4	1	
