"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	
115	228	173	303	292	913	907	1004	947	80	909	914	
100	250	150	250	250	850	850	850	850	70	850	850	
0	41	0	0	0	0	0	56	0	0	0	0	
68	114	115	168	140	469	519	574	566	48	543	536	
10	2	6	12	6	28	7	15	9	2	17	25	
22	93	29	70	104	353	324	205	275	20	290	289	
10	43	6	12	6	28	7	71	9	2	17	25	
68	114	115	168	140	469	519	574	566	48	543	536	
0	0	0	2	3	8	8	7	11	1	7	2	
78	157	121	178	143	489	518	638	564	49	553	559	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	2	1	4	2	8	2	2	0	6	
0	13	2	6	9	65	82	109	112	1	88	97	
8	11	6	15	10	31	25	45	29	8	36	39	
70	128	110	152	121	379	404	458	408	37	419	400	
0	0	0	0	1	0	2	10	4	0	3	4	
0	4	2	0	1	3	0	3	1	1	2	7	
0	1	0	0	0	5	2	3	4	0	1	2	
0	0	0	3	0	2	1	2	4	0	4	4	
